row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Phải thu theo các hợp đồng hợp tác và biên bảnthỏa thuận (i),Ngắn hạn: > Phải thu theo các hợp đồng hợp tác và biên bảnthỏa thuận (i),Phải thu theo các hợp đồng hợp tác và biên bảnthỏa thuận (i),349.839.888.358,360.000.000.000,349839888358.0,360000000000.0
Phải thu theo biên bản thanh lý thỏa thuận đặt cọchợp tác đầu tư (ii),Ngắn hạn: > Phải thu theo biên bản thanh lý thỏa thuận đặt cọchợp tác đầu tư (ii),Phải thu theo biên bản thanh lý thỏa thuận đặt cọchợp tác đầu tư (ii),349.300.000.000,-,349300000000.0,
Tạm ứng,Ngắn hạn: > Tạm ứng,Tạm ứng,49.944.826.912,301.482.439,49944826912.0,301482439.0
Phải thu ngắn hạn khác,Ngắn hạn: > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,16.376.432.804,16.870.907.692,16376432804.0,16870907692.0
TỔNG CỘNG,Ngắn hạn: > TỔNG CỘNG,TỔNG CỘNG,765.461.148.074,377.172.390.131,765461148074.0,377172390131.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khác ngắn hạn của các bên khác,Trong đó: > Phải thu khác ngắn hạn của các bên khác,Phải thu khác ngắn hạn của các bên khác,764.038.269.181,360.816.924.433,764038269181.0,360816924433.0
Phải thu khác ngắn hạn từ các bên liên quan(Thuyết minh số 33),Trong đó: > Phải thu khác ngắn hạn từ các bên liên quan(Thuyết minh số 33),Phải thu khác ngắn hạn từ các bên liên quan(Thuyết minh số 33),1.422.878.893,16.355.465.698,1422878893.0,16355465698.0
Dự phòng phải thu ngắn hạn khác khó đòi,Dự phòng phải thu ngắn hạn khác khó đòi,Dự phòng phải thu ngắn hạn khác khó đòi,-,-,,
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Phải thu theo các hợp đồng hợp tác đầu tư (iii),Dài hạn: > Phải thu theo các hợp đồng hợp tác đầu tư (iii),Phải thu theo các hợp đồng hợp tác đầu tư (iii),341.091.689.634,60.362.336.276,341091689634.0,60362336276.0
Ký quỹ thực hiện dự án (iv),Dài hạn: > Ký quỹ thực hiện dự án (iv),Ký quỹ thực hiện dự án (iv),98.346.015.364,29.431.729.000,98346015364.0,29431729000.0
TỔNG CỘNG,Dài hạn: > TỔNG CỘNG,TỔNG CỘNG,439.437.704.998,89.794.065.276,439437704998.0,89794065276.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khác dài hạn của đối tác doanh nghiệp,Trong đó: > Phải thu khác dài hạn của đối tác doanh nghiệp,Phải thu khác dài hạn của đối tác doanh nghiệp,98.346.015.364,89.794.065.276,98346015364.0,89794065276.0
Phải thu khác dài hạn từ các bên liên quan(Thuyết minh số 33),Trong đó: > Phải thu khác dài hạn từ các bên liên quan(Thuyết minh số 33),Phải thu khác dài hạn từ các bên liên quan(Thuyết minh số 33),341.091.689.634,-,341091689634.0,
Dự phòng phải thu dài hạn khác khó đòi,Dự phòng phải thu dài hạn khác khó đòi,Dự phòng phải thu dài hạn khác khó đòi,-,-,,
