row_label_raw,row_label_full,Bên liên quan > Chi phí phải trả ngắn hạn (Thuyết minh số 20),Mối quan hệ > Chi phí phải trả ngắn hạn (Thuyết minh số 20),Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 20),Số cuối năm > Chi phí phải trả ngắn hạn (Thuyết minh số 20),Đơn vị tính: VND Số đầu năm > Chi phí phải trả ngắn hạn (Thuyết minh số 20),numeric__Mối quan hệ > Chi phí phải trả ngắn hạn (Thuyết minh số 20),numeric__Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 20),numeric__Số cuối năm > Chi phí phải trả ngắn hạn (Thuyết minh số 20),numeric__Đơn vị tính: VND Số đầu năm > Chi phí phải trả ngắn hạn (Thuyết minh số 20)
Công ty Topaz,Công ty Topaz,Công ty Topaz,Công ty con,Phải trả phí tư vấn,653.346.333,-,,,653346333.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,653.346.333,-,,,653346333.0,
Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),Phải trả ngắn hạn khác (Thuyết minh số 22),,,,
Công ty Hải Phát - Bình Thuận,Phải trả ngắn hạn khác (Thuyết minh số 22) > Công ty Hải Phát - Bình Thuận,Công ty Hải Phát - Bình Thuận,Công ty con,Phải trả tiền quản lý tập trung,35.024.142.763,372.684.758.846,,,35024142763.0,372684758846.0
Công ty HPH Nha Trang,Phải trả ngắn hạn khác (Thuyết minh số 22) > Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty con,Phải trả tiền quản lý tập trung,85.461.852.811,72.661.147.168,,,85461852811.0,72661147168.0
Công ty Châu Sơn,Phải trả ngắn hạn khác (Thuyết minh số 22) > Công ty Châu Sơn,Công ty Châu Sơn,Công ty con,Phải trả tiền quản lý tập trung,583.609.994,27.000.000.000,,,583609994.0,27000000000.0
Công ty Ruby,Phải trả ngắn hạn khác (Thuyết minh số 22) > Công ty Ruby,Công ty Ruby,Công ty con,Phải trả tiền quản lý tập trung,21.856.682.192,-,,,21856682192.0,
Công ty ĐT và KD BĐS Hải Phát,Phải trả ngắn hạn khác (Thuyết minh số 22) > Công ty ĐT và KD BĐS Hải Phát,Công ty ĐT và KD BĐS Hải Phát,Công ty con,Phải trả khác theo biên bản thanh lý,12.315.017.831,-,,,12315017831.0,
Công ty Sapphire,Phải trả ngắn hạn khác (Thuyết minh số 22) > Công ty Sapphire,Công ty Sapphire,Công ty con,Phải trả tiền quản lý tập trung,20.034.520.548,-,,,20034520548.0,
Công ty Heritage,Phải trả ngắn hạn khác (Thuyết minh số 22) > Công ty Heritage,Công ty Heritage,Công ty con,Phải trả tiền quản lý tập trung,10.203.687.671,-,,,10203687671.0,
TỔNG CỘNG,Phải trả ngắn hạn khác (Thuyết minh số 22) > TỔNG CỘNG,TỔNG CỘNG,,,185.479.513.810,472.345.906.014,,,185479513810.0,472345906014.0
Phải trả dài hạn khác (Thuyết minh số 22),Phải trả dài hạn khác (Thuyết minh số 22),Phải trả dài hạn khác (Thuyết minh số 22),Phải trả dài hạn khác (Thuyết minh số 22),Phải trả dài hạn khác (Thuyết minh số 22),Phải trả dài hạn khác (Thuyết minh số 22),Phải trả dài hạn khác (Thuyết minh số 22),,,,
Công ty Hải Phát Thủ Đô,Phải trả dài hạn khác (Thuyết minh số 22) > Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty liên quan của thành viên Hội đồng Quản trị,Phải trả tiền nhận đặt cọc,-,202.200.220.000,,,,202200220000.0
Công ty Châu Sơn,Phải trả dài hạn khác (Thuyết minh số 22) > Công ty Châu Sơn,Công ty Châu Sơn,Công ty con,Phải trả theo thỏa thuận HTĐT,183.000.000.000,-,,,183000000000.0,
Công ty Heritage,Phải trả dài hạn khác (Thuyết minh số 22) > Công ty Heritage,Công ty Heritage,Công ty con,Phải trả theo thỏa thuận HTĐT,240.000.000.000,-,,,240000000000.0,
Công ty Hải Phát - Bình Thuận,Phải trả dài hạn khác (Thuyết minh số 22) > Công ty Hải Phát - Bình Thuận,Công ty Hải Phát - Bình Thuận,Công ty con,Phải trả theo thỏa thuận HTĐT,500.000.000.000,-,,,500000000000.0,
TỔNG CỘNG,Phải trả dài hạn khác (Thuyết minh số 22) > TỔNG CỘNG,TỔNG CỘNG,,,923.000.000.000,202.200.220.000,,,923000000000.0,202200220000.0
