row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
Công ty PSP,Công ty PSP,Công ty PSP,Công ty con gián tiếp,Phải trả phí dịch vụ quản lý tòa nhà,16.913.399.546,28.433.473.064,,,16913399546.0,28433473064.0
Công ty PSP,Công ty PSP,Công ty PSP,Công ty con gián tiếp,Phí dịch vụ quản lý tòa nhà đã trả,47.502.944,-,,,47502944.0,
Công ty PSP,Công ty PSP,Công ty PSP,Công ty con gián tiếp,Trả phí dịch vụ quản lý tòa nhà qua bù trừ công nợ,10.530.818.530,31.836.011.105,,,10530818530.0,31836011105.0
Công ty PSP,Công ty PSP,Công ty PSP,Công ty con gián tiếp,Tiền cho thuê mặt bằng phải thu,132.000.000,-,,,132000000.0,
Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty liên quan của thành viên HĐQT,Tiền thuê văn phòng đã thu,284.982.462,-,,,284982462.0,
Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty liên quan của thành viên HĐQT,Chuyển trả tiền đặt cọc mua sản thương mại,-,20.000.000.000,,,,20000000000.0
Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty con,Nhận tiền theo thỏa thuận quản lý vốn tập trung,12.200.000.000,2.200.000.000,,,12200000000.0,2200000000.0
Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty con,Phải trả lãi từ dòng tiền quản lý vốn tập trung,1.785.821.426,-,,,1785821426.0,
Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty con,Phải thu theo biên bản thỏa thuận,1.185.115.783,-,,,1185115783.0,
Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty con,Bù trừ công nợ,1.185.115.783,-,,,1185115783.0,
Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty con,Chi hộ phải thu,-,3.669.649.959,,,,3669649959.0
Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty con,Chi hộ đã thu thông qua góp vốn điều lệ,-,6.780.000.000,,,,6780000000.0
Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty con,Chi hộ đã thu thông qua bù trừ theo thỏa thuận,-,5.588.852.832,,,,5588852832.0
Công ty TNHH Một thành viên Bea Leasing,Công ty TNHH Một thành viên Bea Leasing,Công ty TNHH Một thành viên Bea Leasing,Công ty có chung thành viên quản lý chủ chốt đến ngày 16 tháng 4 năm 2020,Doanh thu bán bắt động sản,-,93.980.291.567,,,,93980291567.0
Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty cùng thành viên HĐQT,Phải thu theo hợp đồng chuyển nhượng,202.200.220.000,-,,,202200220000.0,
Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty cùng thành viên HĐQT,Bù trừ theo hợp đồng ủy thác đầu tư,202.200.220.000,-,,,202200220000.0,
Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty cùng thành viên HĐQT,Tiền đã thu theo biên bản thỏa thuận,16.355.465.698,-,,,16355465698.0,
Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty thuộc sở hữu của thành viên HĐQT,Phải trả tiền xây dựng,1.930.909.897,7.224.163.817,,,1930909897.0,7224163817.0
Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty thuộc sở hữu của thành viên HĐQT,Tiền xây dựng đã trả,977.220.000,7.224.163.817,,,977220000.0,7224163817.0
Công ty Sapphire,Công ty Sapphire,Công ty Sapphire,Công ty con,Chuyển tiền góp vốn,120.000.000.000,-,,,120000000000.0,
Công ty Sapphire,Công ty Sapphire,Công ty Sapphire,Công ty con,Nhận tiền theo thỏa thuận quản lý vốn tập trung,20.00.000.000,-,,,2000000000.0,
Công ty Sapphire,Công ty Sapphire,Công ty Sapphire,Công ty con,Phải trả lãi từ dòng tiền quản lý vốn tập trung,34.520.548,-,,,34520548.0,
