row_label_raw,row_label_full,Cổ tức đã công bố và đã trả trong năm,Đơn vị tính: VND > Năm nay > Cổ tức đã công bố và đã trả trong năm,Đơn vị tính: VND > Năm trước > Cổ tức đã công bố và đã trả trong năm,numeric__Đơn vị tính: VND > Năm nay > Cổ tức đã công bố và đã trả trong năm,numeric__Đơn vị tính: VND > Năm trước > Cổ tức đã công bố và đã trả trong năm
Cổ tức trên cổ phiếu phố thống,Cổ tức trên cổ phiếu phố thống,Cổ tức trên cổ phiếu phố thống,644.982.770.000,-,644982770000.0,
Cổ tức trả bằng cổ phiếu cho năm 2018: 29.999.201 cổ phiếu/199.996.305 cổ phiếu hiện hữu (2017: 0 cổ phiếu/199.996.305 cổ phiếu hiện hữu),Cổ tức trả bằng cổ phiếu cho năm 2018: 29.999.201 cổ phiếu/199.996.305 cổ phiếu hiện hữu (2017: 0 cổ phiếu/199.996.305 cổ phiếu hiện hữu),Cổ tức trả bằng cổ phiếu cho năm 2018: 29.999.201 cổ phiếu/199.996.305 cổ phiếu hiện hữu (2017: 0 cổ phiếu/199.996.305 cổ phiếu hiện hữu),299.992.010.000,-,299992010000.0,
Cổ tức trả bằng cổ phiếu cho năm 2019: 34.499.076 cổ phiếu/229.995.506 cổ phiếu hiện hữu (2018: 29.999.201 cổ phiếu/199.996.305 cổ phiếu hiện hữu),Cổ tức trả bằng cổ phiếu cho năm 2019: 34.499.076 cổ phiếu/229.995.506 cổ phiếu hiện hữu (2018: 29.999.201 cổ phiếu/199.996.305 cổ phiếu hiện hữu),Cổ tức trả bằng cổ phiếu cho năm 2019: 34.499.076 cổ phiếu/229.995.506 cổ phiếu hiện hữu (2018: 29.999.201 cổ phiếu/199.996.305 cổ phiếu hiện hữu),344.990.760.000,-,344990760000.0,
Cổ tức trên cổ phiếu ưu đãi,Cổ tức trên cổ phiếu ưu đãi,Cổ tức trên cổ phiếu ưu đãi,-,-,,
