row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả về dòng tiền quản lý tập trung (i),Ngắn hạn > Phải trả về dòng tiền quản lý tập trung (i),Phải trả về dòng tiền quản lý tập trung (i),173.164.495.979,472.345.906.014,173164495979.0,472345906014.0
Quỹ bảo trì căn hộ (ii),Ngắn hạn > Quỹ bảo trì căn hộ (ii),Quỹ bảo trì căn hộ (ii),77.292.156.017,86.041.266.928,77292156017.0,86041266928.0
"Tiền thu từ các hợp đồng đặt cọc, vay vốn và hợp đồng khác liên quan đến các dự án bất động sản","Ngắn hạn > Tiền thu từ các hợp đồng đặt cọc, vay vốn và hợp đồng khác liên quan đến các dự án bất động sản","Tiền thu từ các hợp đồng đặt cọc, vay vốn và hợp đồng khác liên quan đến các dự án bất động sản",10.291.907.000,9.895.443.166,10291907000.0,9895443166.0
Thu hộ phải trả,Ngắn hạn > Thu hộ phải trả,Thu hộ phải trả,-,24.741.675.000,,24741675000.0
Các khoản phải trả ngắn hạn khác,Ngắn hạn > Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,20.429.047.070,31.602.299.848,20429047070.0,31602299848.0
,,,281.177.606.066,624.626.590.956,281177606066.0,624626590956.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn khác,Trong đó: > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,95.698.092.256,152.280.684.942,95698092256.0,152280684942.0
Phải trả ngắn hạn cho các bên liên quan(Thuyết minh số 33),Trong đó: > Phải trả ngắn hạn cho các bên liên quan(Thuyết minh số 33),Phải trả ngắn hạn cho các bên liên quan(Thuyết minh số 33),185.479.513.810,472.345.906.014,185479513810.0,472345906014.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Phải trả theo hợp đồng ủy thác đầu tư (iii),Dài hạn > Phải trả theo hợp đồng ủy thác đầu tư (iii),Phải trả theo hợp đồng ủy thác đầu tư (iii),-,202.200.220.000,,202200220000.0
Phải trả theo hợp đồng hợp tác đầu tư (iv),Dài hạn > Phải trả theo hợp đồng hợp tác đầu tư (iv),Phải trả theo hợp đồng hợp tác đầu tư (iv),923.000.000.000,-,923000000000.0,
Nhận tiền cọc từ hợp đồng cho thuê dài hạn(v),Dài hạn > Nhận tiền cọc từ hợp đồng cho thuê dài hạn(v),Nhận tiền cọc từ hợp đồng cho thuê dài hạn(v),176.991.281.269,149.275.754.677,176991281269.0,149275754677.0
Phải trả theo các hợp đồng hợp tác kinh doanh,Dài hạn > Phải trả theo các hợp đồng hợp tác kinh doanh,Phải trả theo các hợp đồng hợp tác kinh doanh,45.242.848.602,40.358.600.000,45242848602.0,40358600000.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.145.234.129.871,391.834.574.677,1145234129871.0,391834574677.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả dài hạn khác,Trong đó: > Phải trả dài hạn khác,Phải trả dài hạn khác,222.234.129.871,189.634.354.677,222234129871.0,189634354677.0
Phải trả dài hạn cho các bên liên quan(Thuyết minh số 33),Trong đó: > Phải trả dài hạn cho các bên liên quan(Thuyết minh số 33),Phải trả dài hạn cho các bên liên quan(Thuyết minh số 33),923.000.000.000,202.200.220.000,923000000000.0,202200220000.0
