row_label_raw,row_label_full,Chức vụ,Thu nhập,Thu nhập_1,numeric__Thu nhập,numeric__Thu nhập_1
Chức vụ,Chức vụ,Chức vụ,Năm nay,Năm trước,,
Chủ tịch HĐQT,Chức vụ > Chủ tịch HĐQT,Chủ tịch HĐQT,2.760.000.000,2.627.920.000,2760000000.0,2627920000.0
Phó Chủ tịch thường trực,Chức vụ > Phó Chủ tịch thường trực,Phó Chủ tịch thường trực,834.782.609,1.712.731.000,834782609.0,1712731000.0
Phó Chủ tịch HĐQT,Chức vụ > Phó Chủ tịch HĐQT,Phó Chủ tịch HĐQT,690.000.000,725.340.000,690000000.0,725340000.0
Thành viên HĐQT,Chức vụ > Thành viên HĐQT,Thành viên HĐQT,1.185.750.000,862.947.000,1185750000.0,862947000.0
Thành viên độc lập HĐQT,Chức vụ > Thành viên độc lập HĐQT,Thành viên độc lập HĐQT,306.000.000,411.107.000,306000000.0,411107000.0
Thành viên độc lập HĐQT,Chức vụ > Thành viên độc lập HĐQT,Thành viên độc lập HĐQT,208.695.652,411.107.000,208695652.0,411107000.0
Thành viên độc lập HĐQT kiểm Chủ tịch,Thành viên độc lập HĐQT kiểm Chủ tịch,Thành viên độc lập HĐQT kiểm Chủ tịch,,,,
Ủy ban Kiểm toán,Thành viên độc lập HĐQT kiểm Chủ tịch > Ủy ban Kiểm toán,Ủy ban Kiểm toán,247.219.000,-,247219000.0,
Thành viên độc lập HĐQT,Thành viên độc lập HĐQT kiểm Chủ tịch > Thành viên độc lập HĐQT,Thành viên độc lập HĐQT,72.734.694,-,72734694.0,
Tổng Giám đốc,Thành viên độc lập HĐQT kiểm Chủ tịch > Tổng Giám đốc,Tổng Giám đốc,2.040.126.999,1.570.604.980,2040126999.0,1570604980.0
Phó Tổng Giám đốc đến ngày 27 tháng,Phó Tổng Giám đốc đến ngày 27 tháng,Phó Tổng Giám đốc đến ngày 27 tháng,,,,
6 năm 2020 và là thành viên HĐQT từ,6 năm 2020 và là thành viên HĐQT từ,6 năm 2020 và là thành viên HĐQT từ,,,,
ngày 27 tháng 6 năm 2020,6 năm 2020 và là thành viên HĐQT từ > ngày 27 tháng 6 năm 2020,ngày 27 tháng 6 năm 2020,942.224.205,988.308.933,942224205.0,988308933.0
Phó Tổng Giám đốc,6 năm 2020 và là thành viên HĐQT từ > Phó Tổng Giám đốc,Phó Tổng Giám đốc,406.651.911,971.972.675,406651911.0,971972675.0
Phó Tổng Giám đốc,6 năm 2020 và là thành viên HĐQT từ > Phó Tổng Giám đốc,Phó Tổng Giám đốc,406.872.376,987.878.419,406872376.0,987878419.0
Phó Tổng Giám đốc,6 năm 2020 và là thành viên HĐQT từ > Phó Tổng Giám đốc,Phó Tổng Giám đốc,938.902.005,500.628.736,938902005.0,500628736.0
Phó Tổng Giám đốc,6 năm 2020 và là thành viên HĐQT từ > Phó Tổng Giám đốc,Phó Tổng Giám đốc,641.165.883,-,641165883.0,
Phó Tổng Giám đốc,6 năm 2020 và là thành viên HĐQT từ > Phó Tổng Giám đốc,Phó Tổng Giám đốc,504.159.250,-,504159250.0,
Phó Tổng Giám đốc,6 năm 2020 và là thành viên HĐQT từ > Phó Tổng Giám đốc,Phó Tổng Giám đốc,801.673.478,-,801673478.0,
Phó Tổng Giám đốc,6 năm 2020 và là thành viên HĐQT từ > Phó Tổng Giám đốc,Phó Tổng Giám đốc,591.250.181,-,591250181.0,
TỔNG CỘNG,6 năm 2020 và là thành viên HĐQT từ > TỔNG CỘNG,TỔNG CỘNG,13.578.208.243,10.907.598.743,13578208243.0,10907598743.0
