row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Phải thu từ hoạt động chuyển nhượng bất động sản,Phải thu từ hoạt động chuyển nhượng bất động sản,Phải thu từ hoạt động chuyển nhượng bất động sản,114.568.285.102,258.070.568.480,114568285102.0,258070568480.0
Phải thu từ hoạt động chuyển nhượng cổ phần,Phải thu từ hoạt động chuyển nhượng cổ phần,Phải thu từ hoạt động chuyển nhượng cổ phần,30.000.000.000,130.000.000.000,30000000000.0,130000000000.0
Phải thu từ hoạt động cho thuê,Phải thu từ hoạt động cho thuê,Phải thu từ hoạt động cho thuê,1.417.222.101,5.216.161.278,1417222101.0,5216161278.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,145.985.507.203,393.286.729.758,145985507203.0,393286729758.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn của khách hàng,Trong đó: > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,145.630.909.478,373.196.653.879,145630909478.0,373196653879.0
Phải thu ngắn hạn từ các bên liên quan(Thuyết minh số 33),Trong đó: > Phải thu ngắn hạn từ các bên liên quan(Thuyết minh số 33),Phải thu ngắn hạn từ các bên liên quan(Thuyết minh số 33),354.597.725,20.090.075.879,354597725.0,20090075879.0
Chi tiết các khoản phải thu ngắn hạn từ khách hàngchiếm trên 10% tổng phải thu:,Chi tiết các khoản phải thu ngắn hạn từ khách hàngchiếm trên 10% tổng phải thu:,Chi tiết các khoản phải thu ngắn hạn từ khách hàngchiếm trên 10% tổng phải thu:,Chi tiết các khoản phải thu ngắn hạn từ khách hàngchiếm trên 10% tổng phải thu:,Chi tiết các khoản phải thu ngắn hạn từ khách hàngchiếm trên 10% tổng phải thu:,,
Xí nghiệp Xây dựng Tư nhân Số 1,Chi tiết các khoản phải thu ngắn hạn từ khách hàngchiếm trên 10% tổng phải thu: > Xí nghiệp Xây dựng Tư nhân Số 1,Xí nghiệp Xây dựng Tư nhân Số 1,30.000.000.000,30.000.000.000,30000000000.0,30000000000.0
Công ty Cổ phần Đầu tư An Thịnh,Chi tiết các khoản phải thu ngắn hạn từ khách hàngchiếm trên 10% tổng phải thu: > Công ty Cổ phần Đầu tư An Thịnh,Công ty Cổ phần Đầu tư An Thịnh,-,100.000.000.000,,100000000000.0
Dự phòng phải thu khó đòi (Thuyết minh số 9),Chi tiết các khoản phải thu ngắn hạn từ khách hàngchiếm trên 10% tổng phải thu: > Dự phòng phải thu khó đòi (Thuyết minh số 9),Dự phòng phải thu khó đòi (Thuyết minh số 9),(30.000.000.000),(30.000.000.000),-30000000000.0,-30000000000.0
