row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 8),Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 8),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 8),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 8),Đơn vị tính: VND Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Mối quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Đơn vị tính: VND Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 8)
Công ty Heritage,Công ty Heritage,Công ty Heritage,Công ty con,Phải thu tiền chi hộ,1.422.878.893,-,,,1422878893.0,
Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty Hải Phát Thủ Đô,Công ty liên quan của thành viên Hội đồng Quản trị,Phải thu theo biển bản thỏa thuận,-,16.355.465.698,,,,16355465698.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,1.422.878.893,16.355.465.698,,,1422878893.0,16355465698.0
Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),,,,
Cienco 5,Phải thu dài hạn khác (Thuyết minh số 8) > Cienco 5,Cienco 5,Công ty liên quan của thành viên HĐQT,Phải thu theo biển bản thỏa thuận hợp tác đầu tư,197.000.000.000,-,,,197000000000.0,
Công ty ĐT và KD BĐS Hải Phát,Phải thu dài hạn khác (Thuyết minh số 8) > Công ty ĐT và KD BĐS Hải Phát,Công ty ĐT và KD BĐS Hải Phát,Công ty con,Phải thu theo thỏa thuận,144.091.689.634,-,,,144091689634.0,
TỔNG CỘNG,Phải thu dài hạn khác (Thuyết minh số 8) > TỔNG CỘNG,TỔNG CỘNG,,,341.091.689.634,-,,,341091689634.0,
Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),Phải trả người bán ngắn hạn (Thuyết minh số 18.1),,,,
Công ty PSP,Phải trả người bán ngắn hạn (Thuyết minh số 18.1) > Công ty PSP,Công ty PSP,Công ty con gián tiếp,Phải trả phí dịch vụ quản lý,6.695.319.118,360.241.046,,,6695319118.0,360241046.0
Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Phải trả người bán ngắn hạn (Thuyết minh số 18.1) > Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty thuộc sở hữu của thành viên HĐQT,Tiền vật liệu xây dựng phải trả,953.689.897,-,,,953689897.0,
Công ty Châu Sơn,Phải trả người bán ngắn hạn (Thuyết minh số 18.1) > Công ty Châu Sơn,Công ty Châu Sơn,Công ty con gián tiếp,Phí thuê mặt bằng phải trả Phải trả theo biển bản thỏa thuận hợp tác đầu tư,182.961.673,7.204.271.253,,,182961673.0,7204271253.0
Công ty TNHH An Quý Hưng,Phải trả người bán ngắn hạn (Thuyết minh số 18.1) > Công ty TNHH An Quý Hưng,Công ty TNHH An Quý Hưng,Công ty liên quan đến ngày 1 tháng 9 năm 2020,Tiền vật liệu xây dựng phải trả,-,5.377.920.087,,,,5377920087.0
Công ty ĐT và KD BĐS Hải Phát,Phải trả người bán ngắn hạn (Thuyết minh số 18.1) > Công ty ĐT và KD BĐS Hải Phát,Công ty ĐT và KD BĐS Hải Phát,Công ty con,Phí môi giới phải trả,-,8.626.002.544,,,,8626002544.0
Công ty Cổ phần Môi trường và Phát triển Đô thị Hà Nội,Phải trả người bán ngắn hạn (Thuyết minh số 18.1) > Công ty Cổ phần Môi trường và Phát triển Đô thị Hà Nội,Công ty Cổ phần Môi trường và Phát triển Đô thị Hà Nội,Công ty có chung thành viên quản lý chủ chốt đến ngày 27 tháng 6 năm 2020,Phải trả phí dịch vụ,-,4.906.330.559,,,,4906330559.0
TỔNG CỘNG,Phải trả người bán ngắn hạn (Thuyết minh số 18.1) > TỔNG CỘNG,TỔNG CỘNG,,,7.831.970.688,26.484.665.489,,,7831970688.0,26484665489.0
