row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,numeric__Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,numeric__Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,numeric__Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,numeric__Khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,numeric__Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu từ khách hàng bên ngoài,Doanh thu > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,3.584.289.426,677.685.411,-,848.807.050,5.110.781.887,3584289426.0,677685411.0,,848807050.0,5110781887.0
Chi phí hình thành tài sản cố định,Doanh thu > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,287.481.478,314.348.786,-,-,601.830.264,287481478.0,314348786.0,,,601830264.0
Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,Vào ngày 31 tháng 12 năm 2022,,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,
Tải sản bộ phận,Các thông tin bộ phận khác > Tải sản bộ phận,Tải sản bộ phận,16.673.301.935,3.052.713.093,-,-,19.726.015.028,16673301935.0,3052713093.0,,,19726015028.0
Tiền,Các thông tin bộ phận khác > Tiền,Tiền,,,,,72.372.525,,,,,72372525.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,,19.798.387.553,,,,,19798387553.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu từ khách hàng bên ngoài,Doanh thu > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,2.835.907.331,583.856.464,818.378.598,2.204.254.806,6.442.397.199,2835907331.0,583856464.0,818378598.0,2204254806.0,6442397199.0
Chi phí hình thành tài sản cố định,Doanh thu > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,186.139.960,165.429.948,11.770.258,-,363.340.166,186139960.0,165429948.0,11770258.0,,363340166.0
Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,
Tải sản bộ phận,Các thông tin bộ phận khác > Tải sản bộ phận,Tải sản bộ phận,15.458.887.011,4.095.769.032,1.306.786.699,-,20.861.442.742,15458887011.0,4095769032.0,1306786699.0,,20861442742.0
Tiền,Các thông tin bộ phận khác > Tiền,Tiền,,,,,41.812.548,,,,,41812548.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,,20.903.255.290,,,,,20903255290.0
