row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Ngàn VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,273.552.454,17.873.965,291.426.419,273552454.0,17873965.0,291426419.0
Thanh lý công ty con,Nguyên giá > Thanh lý công ty con,Thanh lý công ty con,-,(2.536.900),(2.536.900),,-2536900.0,-2536900.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(354.200),(354.200),,-354200.0,-354200.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,273.552.454,14.982.865,288.535.319,273552454.0,14982865.0,288535319.0
Trong đó: Đã hao mòn hết,Nguyên giá > Trong đó: Đã hao mòn hết,Trong đó: Đã hao mòn hết,-,14.982.865,14.982.865,,14982865.0,14982865.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,(13.218.967),(16.524.099),(29.743.066),-13218967.0,-16524099.0,-29743066.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,(6.283.662),(10.818),(6.294.480),-6283662.0,-10818.0,-6294480.0
Thanh lý công ty con,Giá trị hao mòn lũy kế > Thanh lý công ty con,Thanh lý công ty con,-,1.288.900,1.288.900,,1288900.0,1288900.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,354.200,354.200,,354200.0,354200.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,(19.502.629),(14.891.817),(34.394.446),-19502629.0,-14891817.0,-34394446.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,260.333.487,1.349.866,261.683.353,260333487.0,1349866.0,261683353.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,254.049.825,91.048,254.140.873,254049825.0,91048.0,254140873.0
Trong đó: Thế chấp để đảm bảo cho các khoản vay (TM số 23 và 34),Giá trị còn lại > Trong đó: Thế chấp để đảm bảo cho các khoản vay (TM số 23 và 34),Trong đó: Thế chấp để đảm bảo cho các khoản vay (TM số 23 và 34),123.449.872,-,123.449.872,123449872.0,,123449872.0
