row_label_raw,row_label_full,col_0,Thương mại và dịch vụ,Nông nghiệp,Loại trừ,Ngân VND Tổng cộng,numeric__Thương mại và dịch vụ,numeric__Nông nghiệp,numeric__Loại trừ,numeric__Ngân VND Tổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,,,,
Doanh thu,Doanh thu,Doanh thu,,,,,,,,
Từ khách hàng bên ngoài,Doanh thu > Từ khách hàng bên ngoài,Từ khách hàng bên ngoài,1.473.393.346,4.969.003.853,-,6.442.397.199,1473393346.0,4969003853.0,,6442397199.0
Giữa các bộ phận,Doanh thu > Giữa các bộ phận,Giữa các bộ phận,2.012.138.634,683.667.246,(2.695.805.880),-,2012138634.0,683667246.0,-2695805880.0,
Tổng cộng,Doanh thu > Tổng cộng,Tổng cộng,3.485.531.980,5.652.671.099,(2.695.805.880),6.442.397.199,3485531980.0,5652671099.0,-2695805880.0,6442397199.0
Kết quả của bộ phận,Doanh thu > Kết quả của bộ phận,Kết quả của bộ phận,104.837.656,1.188.617.824,-,1.293.455.480 (307.694.811),104837656.0,1188617824.0,,
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,,,,
"Lợi nhuận trước thuế, thu nhập tài chính và chi phí tài chính","Chi phí không phân bổ > Lợi nhuận trước thuế, thu nhập tài chính và chi phí tài chính","Lợi nhuận trước thuế, thu nhập tài chính và chi phí tài chính",,,,985.760.669,,,,985760669.0
Thu nhập tài chính,Chi phí không phân bổ > Thu nhập tài chính,Thu nhập tài chính,,,,602.752.483,,,,602752483.0
Chi phí tài chính,Chi phí không phân bổ > Chi phí tài chính,Chi phí tài chính,,,,215.432.853,,,,215432853.0
Lỗ từ công ty liên kết,Chi phí không phân bổ > Lỗ từ công ty liên kết,Lỗ từ công ty liên kết,,,,(11.069.302),,,,-11069302.0
Lợi nhuận trước thuế,Chi phí không phân bổ > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,1.792.876.703,,,,1792876703.0
Chi phí thuế TNDN hiện hành,Chi phí không phân bổ > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,(30.945.417),,,,-30945417.0
Thu nhập thuế TNDN hoãn lại,Chi phí không phân bổ > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,,,,19.754.499,,,,19754499.0
Lợi nhuận sau thuế TNDN trong năm,Chi phí không phân bổ > Lợi nhuận sau thuế TNDN trong năm,Lợi nhuận sau thuế TNDN trong năm,,,,1.781.685.785,,,,1781685785.0
Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,Vào ngày 31 tháng 12 năm 2023,,,,
Tải sản và nợ phải trả,Tải sản và nợ phải trả,Tải sản và nợ phải trả,,,,,,,,
Tải sản của bộ phận,Tải sản và nợ phải trả > Tải sản của bộ phận,Tải sản của bộ phận,7.382.344.180,13.479.098.562,-,20.861.442.742,7382344180.0,13479098562.0,,20861442742.0
Tiền,Tải sản và nợ phải trả > Tiền,Tiền,,,,41.812.548,,,,41812548.0
Tổng tài sản,Tải sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,20.903.255.290,,,,20903255290.0
Nợ phải trả của bộ phận,Tải sản và nợ phải trả > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,(5.700.001.366),(8.069.173.168),-,(13.769.174.534),-5700001366.0,-8069173168.0,,-13769174534.0
Thuế thu nhập hoãn lại phải trả,Tải sản và nợ phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,-,(456.610.651),-,(456.610.651),,-456610651.0,,-456610651.0
Tổng nợ phải trả,Tải sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,(14.225.785.185),,,,-14225785185.0
