row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Lãi từ giao dịch mua giá rẻ (TM số 4.1),Thu nhập khác > Lãi từ giao dịch mua giá rẻ (TM số 4.1),Lãi từ giao dịch mua giá rẻ (TM số 4.1),270.272.853,-,270272853.0,
Thu nhập khác,Thu nhập khác > Thu nhập khác,Thu nhập khác,10.854.922,35.975.907,10854922.0,35975907.0
,,,281.127.775,35.975.907,281127775.0,35975907.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Lỗ từ thanh lý và xóa số tài sản (*),Chi phí khác > Lỗ từ thanh lý và xóa số tài sản (*),Lỗ từ thanh lý và xóa số tài sản (*),140.243.052,8.607.960,140243052.0,8607960.0
Khấu hao tài sản ngưng sử dụng,Chi phí khác > Khấu hao tài sản ngưng sử dụng,Khấu hao tài sản ngưng sử dụng,15.775.348,20.706.325,15775348.0,20706325.0
Chi phí chuyển đổi vườn cây,Chi phí khác > Chi phí chuyển đổi vườn cây,Chi phí chuyển đổi vườn cây,7.445.455,16.604.992,7445455.0,16604992.0
Các khoản phạt,Chi phí khác > Các khoản phạt,Các khoản phạt,1.341.039,13.057.786,1341039.0,13057786.0
Các khoản khác,Chi phí khác > Các khoản khác,Các khoản khác,13.858.993,57.134.206,13858993.0,57134206.0
,,,178.663.887,116.111.269,178663887.0,116111269.0
THU NHẬP (Lỗ) KHÁC,Chi phí khác > THU NHẬP (Lỗ) KHÁC,THU NHẬP (Lỗ) KHÁC,102.463.888,(80.135.362),102463888.0,-80135362.0
