row_label_raw,row_label_full,Tên ngân hàng,Số tiền(Ngân VND),Thời hạn thanh toánvà ngày đáo hạn,Lãi suất(%/năm),"Tài sân thế chấp(TM số 10, 11, 12 và 14)",numeric__Số tiền(Ngân VND),numeric__Thời hạn thanh toánvà ngày đáo hạn,numeric__Lãi suất(%/năm),"numeric__Tài sân thế chấp(TM số 10, 11, 12 và 14)"
Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,,,,
Khoản vay từ ngày13 tháng 10 năm2023 đến ngày 20tháng 12 năm2023,Ngân hàng Thương mại Cổ phần Tiên Phong > Khoản vay từ ngày13 tháng 10 năm2023 đến ngày 20tháng 12 năm2023,Khoản vay từ ngày13 tháng 10 năm2023 đến ngày 20tháng 12 năm2023,511.800.000,Từ ngày 13 tháng 2năm 2024 đến ngày 20tháng 8 năm 2024,"10,65 - 12,20","Tài sân gắn liền với đất nằm trên thừa đất có các Giấy Chứng nhận số BY 440735, BY 440741, BY 440736, BY 440744 thuộc sở hữu của Công ty Cổ phần Chăn nuôi Gia Lai;Hàng hóa luân chuyển trong quá trình sản xuất kinh doanh tại các chuồng trại và kho hàng tại Tĩnh Gia Lai;Quyền đồi nợ phát sinh từ hợp đồng bán hàng, phụ lục hợp đồng bán hàng được ký giữa bên đảm bảo và đối tác đã hình thành và hình thành trong tương lai trong quá trình sản xuất kinh doanh (HĐTC 10/2022/HĐBH/TTDT MB);Toàn bộ tài sản gắn liền trên đất với tổng diện tích 150 ha theo Giấy phép SDD số: 104/TNMT tại Bản Hatsan, Huyện Saysetta, Tĩnh Attapeu thuộc sở hữu Công ty TNHH MTV Phát triển Nông nghiệp Hoàn Thịnh Attapeu;",511800000.0,,,
Khoản vay từ ngày14 tháng 7 năm2023 đến ngày 30tháng 11 năm2023,Ngân hàng Thương mại Cổ phần Tiên Phong > Khoản vay từ ngày14 tháng 7 năm2023 đến ngày 30tháng 11 năm2023,Khoản vay từ ngày14 tháng 7 năm2023 đến ngày 30tháng 11 năm2023,336.200.000,Từ ngày 14 tháng 1năm 2024 đến ngày 30tháng 5 năm 2024,"9,25 - 10,55","Toàn bộ tài sản gắn liền trên đất với tổng diện tích 149 ha theo Giấy phép SDD số: 889/TNMT tại Bản Hatsan, Huyện Saysetta, Tĩnh Attapeu thuộc sở hữu của Công ty TNHH MTV Phát triển Nông nghiệp Khăn Xay;Quyền khai thác đất và tài sản gắn liền trên đất tại Bản Hatsan, Huyện Saysettha, Tĩnh Attapeu, Lào trong tổng diện tích 128 ha của Khăn Xay;Quyền khai thác đất và tài sản gắn liền trên đất tại Tĩnh Attapeu, Lào trong tổng diện tích 146,35 ha của Khăn Xay;Bảo lãnh vô điều kiện không hủy ngang đảm bảo cho các nghĩa vụ nợ của Chủ tịch;55.500.000 cổ phiếu HAG thuộc sở hữu của Ông Đoàn Nguyên Đức;9.000.000 cổ phiếu HAG thuộc sở hữu của Bà Đoàn Hoàng Anh.",336200000.0,,,
TỔNG CỘNG,Ngân hàng Thương mại Cổ phần Tiên Phong > TỔNG CỘNG,TỔNG CỘNG,848.000.000,,,,848000000.0,,,
