row_label_raw,row_label_full,Số đầu năm > Cộng: Dự phòng trích lập trong năm > Trừ: Hoàn nhập dự phòng trong năm > Số cuối năm,Năm nay > 26.017.448 > 527.922 > (8.181.682) > 18.363.688,Ngàn VNDNăm trước > 1.392.199.669 > 18.131.990 > (1.384.314.211) > 26.017.448,numeric__Năm nay > 26.017.448 > 527.922 > (8.181.682) > 18.363.688,numeric__Ngàn VNDNăm trước > 1.392.199.669 > 18.131.990 > (1.384.314.211) > 26.017.448
Trong đó:,Trong đó:,Trong đó:,,,,
Ngắn hạn,Trong đó: > Ngắn hạn,Ngắn hạn,18.363.688,8.491.185,18363688.0,8491185.0
Dài hạn,Trong đó: > Dài hạn,Dài hạn,-,17.526.263,,17526263.0
