row_label_raw,row_label_full,Tên công ty liên kết,Lĩnh vực kinh doanh,Ngày 31 tháng 12 năm 2023 > Tỷ lệ sở hữu và biểu quyết (%),Ngày 31 tháng 12 năm 2023 > Giá trị đầu tư,Ngày 31 tháng 12 năm 2022 > Tỷ lệ sở hữu và biểu quyết (%),Ngày 31 tháng 12 năm 2022 > Giá trị đầu tư,numeric__Lĩnh vực kinh doanh,numeric__Ngày 31 tháng 12 năm 2023 > Tỷ lệ sở hữu và biểu quyết (%),numeric__Ngày 31 tháng 12 năm 2023 > Giá trị đầu tư,numeric__Ngày 31 tháng 12 năm 2022 > Tỷ lệ sở hữu và biểu quyết (%),numeric__Ngày 31 tháng 12 năm 2022 > Giá trị đầu tư
Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông (*),Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông (*),Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông (*),Tư vấn và thiết kế,"25,00",-,"25,00",-,,25.0,,25.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,-,,-,,,,,
