row_label_raw,row_label_full,col_0,Vốn cổ phần,Cổ phiếu quỹ,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Lỗ lũy kế,Ngàn VND Tổng cộng,numeric__Vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Lỗ lũy kế,numeric__Ngàn VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,9.274.679.470,(686.640),(602.619.336),282.410.699,(4.467.100.553),4.486.683.640,9274679470.0,-686640.0,-602619336.0,282410699.0,-4467100553.0,4486683640.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.128.745.396,1.128.745.396,,,,,1128745396.0,1128745396.0
Chênh lệch tỷ giá hối đoái,Năm trước > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,(618.447.106),-,-,(618.447.106),,,-618447106.0,,,-618447106.0
"Chi thù lao HĐQT, BKS và Thư ký","Năm trước > Chi thù lao HĐQT, BKS và Thư ký","Chi thù lao HĐQT, BKS và Thư ký",-,-,-,-,(2.652.000),(2.652.000),,,,,-2652000.0,-2652000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,9.274.679.470,(686.640),(1.221.066.442),282.410.699,(3.341.007.157),4.994.329.930,9274679470.0,-686640.0,-1221066442.0,282410699.0,-3341007157.0,4994329930.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,9.274.679.470,(686.640),(1.221.066.442),282.410.699,(3.341.007.157),4.994.329.930,9274679470.0,-686640.0,-1221066442.0,282410699.0,-3341007157.0,4994329930.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.663.970.953,1.663.970.953,,,,,1663970953.0,1663970953.0
Chênh lệch tỷ giá hối đoái,Năm nay > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,(304.686.476),-,-,(304.686.476),,,-304686476.0,,,-304686476.0
"Giao dịch với cổ đông không kiểm soát (Thuyết minh số 4.3, 4.4 và 4.5)","Năm nay > Giao dịch với cổ đông không kiểm soát (Thuyết minh số 4.3, 4.4 và 4.5)","Giao dịch với cổ đông không kiểm soát (Thuyết minh số 4.3, 4.4 và 4.5)",-,-,-,-,7.155.936,7.155.936,,,,,7155936.0,7155936.0
Thanh lý công ty con (Thuyết minh số 4.7),Năm nay > Thanh lý công ty con (Thuyết minh số 4.7),Thanh lý công ty con (Thuyết minh số 4.7),-,-,-,(2.515.396),2.245.560,(269.836),,,,-2515396.0,2245560.0,-269836.0
"Chi thù lao HĐQT, BKS và Thư ký","Năm nay > Chi thù lao HĐQT, BKS và Thư ký","Chi thù lao HĐQT, BKS và Thư ký",-,-,-,-,(1.536.000),(1.536.000),,,,,-1536000.0,-1536000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,9.274.679.470,(686.640),(1.525.752.918),279.895.303,(1.669.170.708),6.358.964.507,9274679470.0,-686640.0,-1525752918.0,279895303.0,-1669170708.0,6358964507.0
