row_label_raw,row_label_full,col_0,Số đầu năm,Số tăng trong năm,Số giảm trong năm,Ngàn VND Số cuối năm,numeric__Số đầu năm,numeric__Số tăng trong năm,numeric__Số giảm trong năm,numeric__Ngàn VND Số cuối năm
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,32.372.352,50.961.985,(73.065.394),10.268.943,32372352.0,50961985.0,-73065394.0,10268943.0
Thuế thu nhập doanh nghiệp (TM số 32.1),Phải thu > Thuế thu nhập doanh nghiệp (TM số 32.1),Thuế thu nhập doanh nghiệp (TM số 32.1),7.539,-,-,7.539,7539.0,,,7539.0
Thuế khác,Phải thu > Thuế khác,Thuế khác,3.134.366,-,(6.787),3.127.579,3134366.0,,-6787.0,3127579.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,35.514.257,50.961.985,(73.072.181),13.404.061,35514257.0,50961985.0,-73072181.0,13404061.0
Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,,,,
Thuế thu nhập doanh nghiệp (TM số 32.1),Phải trả > Thuế thu nhập doanh nghiệp (TM số 32.1),Thuế thu nhập doanh nghiệp (TM số 32.1),948.467,30.945.417,(3.831.531),28.062.353,948467.0,30945417.0,-3831531.0,28062353.0
Thuế giá trị gia tăng,Phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,3.051.665,70.972.855,(53.682.452),20.342.068,3051665.0,70972855.0,-53682452.0,20342068.0
Thuế thu nhập cá nhân,Phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,4.521.551,16.079.588,(17.371.404),3.229.735,4521551.0,16079588.0,-17371404.0,3229735.0
Thuế khác,Phải trả > Thuế khác,Thuế khác,268.138,5.849.884,(5.531.113),586.909,268138.0,5849884.0,-5531113.0,586909.0
TỔNG CỘNG,Phải trả > TỔNG CỘNG,TỔNG CỘNG,8.789.821,123.847.744,(80.416.500),52.221.065,8789821.0,123847744.0,-80416500.0,52221065.0
