row_label_raw,row_label_full,"Tên ngân hàng > Sacombank Lào, Chi nhánh Champasak > Sacombank, Chi nhánh Gia Lai",Số tiền (Ngân VND) > 65.482.661 > 4.603.125,Thời hạn thanh toán và ngày đáo hạn > Từ ngày 25 tháng 6 năm 2024 đến ngày 7 tháng 6 năm 2026 > Ngày 29 tháng 3 năm 2025,"Lãi suất (%/năm) > LAK: 10,50 USD: 9,05 > 12,50",numeric__Số tiền (Ngân VND) > 65.482.661 > 4.603.125,numeric__Thời hạn thanh toán và ngày đáo hạn > Từ ngày 25 tháng 6 năm 2024 đến ngày 7 tháng 6 năm 2026 > Ngày 29 tháng 3 năm 2025,"numeric__Lãi suất (%/năm) > LAK: 10,50 USD: 9,05 > 12,50"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,70.085.786,,,70085786.0,,
Trong đó:Vay dài hạnVay dài hạnđến hạn trả trongvòng 1 năm,Trong đó:Vay dài hạnVay dài hạnđến hạn trả trongvòng 1 năm,Trong đó:Vay dài hạnVay dài hạnđến hạn trả trongvòng 1 năm,43.360.227,,,43360227.0,,
Trong đó:Vay dài hạnVay dài hạnđến hạn trả trongvòng 1 năm,Trong đó:Vay dài hạnVay dài hạnđến hạn trả trongvòng 1 năm,Trong đó:Vay dài hạnVay dài hạnđến hạn trả trongvòng 1 năm,26.725.559,,,26725559.0,,
