row_label_raw,row_label_full,Công ty TNHH MTVBao bì Linh Khang,Công tyliên quan,Mua hàng hóavà dịch vụ,35.456.555,6.856.363,numeric__Công tyliên quan,numeric__Mua hàng hóavà dịch vụ,numeric__35.456.555,numeric__6.856.363
Công ty Cổ phầnXuất Nhập khẩuDược Thú y Nasa,Công ty Cổ phầnXuất Nhập khẩuDược Thú y Nasa,Công ty Cổ phầnXuất Nhập khẩuDược Thú y Nasa,Công tyliên quan,Mua hàng hóavà dịch vụ,23.441.808,8.912.300,,,23441808.0,8912300.0
Công ty Cổ phần GỗHoàng Anh Gia Lai -CN Nhà Máy Nhựa,Công ty Cổ phần GỗHoàng Anh Gia Lai -CN Nhà Máy Nhựa,Công ty Cổ phần GỗHoàng Anh Gia Lai -CN Nhà Máy Nhựa,Công tyliên quan,Mua hàng hóavà dịch vụ,18.999.661,20.123.754,,,18999661.0,20123754.0
Công ty Cổ phần GỗHoàng Anh Gia Lai,Công ty Cổ phần GỗHoàng Anh Gia Lai,Công ty Cổ phần GỗHoàng Anh Gia Lai,Công tyliên quan,Mua hàng hóavà dịch vụ,6.827.227,7.509.227,,,6827227.0,7509227.0
Các bên liên quankhác,Các bên liên quankhác,Các bên liên quankhác,Bên liên quan,Mua hàng hóavà dịch vụ,61.073,3.683.654,,,61073.0,3683654.0
,,,,,84.786.324,47.085.298,,,84786324.0,47085298.0
