row_label_raw,row_label_full,Tên ngân hàng,Số tiền(Ngàn VND),Thời hạn thanh toánvà ngày đáo hạn,Lãi suất(%/năm),col_4,"Tài sản thế chấp(TM số 11, 12 và 14)",numeric__Số tiền(Ngàn VND),numeric__Thời hạn thanh toánvà ngày đáo hạn,numeric__Lãi suất(%/năm),numeric__col_4,"numeric__Tài sản thế chấp(TM số 11, 12 và 14)"
"LPBank, Chi nhánh Gia Lai","LPBank, Chi nhánh Gia Lai","LPBank, Chi nhánh Gia Lai","LPBank, Chi nhánh Gia Lai","LPBank, Chi nhánh Gia Lai","LPBank, Chi nhánh Gia Lai","LPBank, Chi nhánh Gia Lai","LPBank, Chi nhánh Gia Lai",,,,,
Khoản vay ngày 15tháng 12 năm 2023,"LPBank, Chi nhánh Gia Lai > Khoản vay ngày 15tháng 12 năm 2023",Khoản vay ngày 15tháng 12 năm 2023,600.000.000,Ngày 11 tháng 6năm 2024,"10,15",Quyền sử dụng đất và tài sản gắn liền với đất trên tổng diện tích 957 ha(7 bia đỏ) thuộc sở hữu của Công ty Chăn nuôi Gia Lai.,Quyền sử dụng đất và tài sản gắn liền với đất trên tổng diện tích 957 ha(7 bia đỏ) thuộc sở hữu của Công ty Chăn nuôi Gia Lai.,600000000.0,,10.15,,
Khoản vay ngày 20tháng 12 năm 2023,"LPBank, Chi nhánh Gia Lai > Khoản vay ngày 20tháng 12 năm 2023",Khoản vay ngày 20tháng 12 năm 2023,150.000.000,Ngày 16 tháng 6năm 2024,"10,15",,,150000000.0,,10.15,,
TỔNG CỘNG,"LPBank, Chi nhánh Gia Lai > TỔNG CỘNG",TỔNG CỘNG,750.000.000,,,,,750000000.0,,,,
