row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Nhà cửa, vật kiến trúc",Ngàn VND Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Nhà cửa, vật kiến trúc",numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,27.072.022,47.003.809,74.075.831,27072022.0,47003809.0,74075831.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(27.072.022),-,(27.072.022),-27072022.0,,-27072022.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,-,47.003.809,47.003.809,,47003809.0,47003809.0
Giá trị khấu hao và hao mòn lũy kế,Giá trị khấu hao và hao mòn lũy kế,Giá trị khấu hao và hao mòn lũy kế,Giá trị khấu hao và hao mòn lũy kế,Giá trị khấu hao và hao mòn lũy kế,Giá trị khấu hao và hao mòn lũy kế,,,
Số đầu năm,Giá trị khấu hao và hao mòn lũy kế > Số đầu năm,Số đầu năm,(5.175.759),(8.924.630),(14.100.389),-5175759.0,-8924630.0,-14100389.0
Khấu hao và hao mòn trong năm,Giá trị khấu hao và hao mòn lũy kế > Khấu hao và hao mòn trong năm,Khấu hao và hao mòn trong năm,(184.849),(1.891.458),(2.076.307),-184849.0,-1891458.0,-2076307.0
Thanh lý,Giá trị khấu hao và hao mòn lũy kế > Thanh lý,Thanh lý,5.360.608,-,5.360.608,5360608.0,,5360608.0
Số cuối năm,Giá trị khấu hao và hao mòn lũy kế > Số cuối năm,Số cuối năm,-,(10.816.088),(10.816.088),,-10816088.0,-10816088.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,21.896.263,38.079.179,59.975.442,21896263.0,38079179.0,59975442.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,-,36.187.721,36.187.721,,36187721.0,36187721.0
Trong đó:Thế chấp để đảm bảo cho các khoản vay (TM số 23),Giá trị còn lại > Trong đó:Thế chấp để đảm bảo cho các khoản vay (TM số 23),Trong đó:Thế chấp để đảm bảo cho các khoản vay (TM số 23),-,36.187.721,36.187.721,,36187721.0,36187721.0
