row_label_raw,row_label_full,Chi tiết trái phiếu thường như sau:,Chi tiết trái phiếu thường như sau:_1,Chi tiết trái phiếu thường như sau:_2,numeric__Chi tiết trái phiếu thường như sau:_1,numeric__Chi tiết trái phiếu thường như sau:_2
,,,,Ngàn VND,,
Tổ chức thu xếp phát hành,Tổ chức thu xếp phát hành,Tổ chức thu xếp phát hành,Số cuối năm,Số đầu năm,,
"BIDV và Công ty Cổ phần Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam (""BSC"")","Tổ chức thu xếp phát hành > BIDV và Công ty Cổ phần Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam (""BSC"")","BIDV và Công ty Cổ phần Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam (""BSC"")",4.671.000.000,5.271.000.000,4671000000.0,5271000000.0
"Công ty TNHH Chứng khoán ACB (""ACBS"")","Tổ chức thu xếp phát hành > Công ty TNHH Chứng khoán ACB (""ACBS"")","Công ty TNHH Chứng khoán ACB (""ACBS"")",300.000.000,300.000.000,300000000.0,300000000.0
"Ngân hàng Thương mại Cổ phần Tiến Phong (""TPBank"")","Tổ chức thu xếp phát hành > Ngân hàng Thương mại Cổ phần Tiến Phong (""TPBank"")","Ngân hàng Thương mại Cổ phần Tiến Phong (""TPBank"")",-,200.000.000,,200000000.0
Chi phí phát hành trái phiếu,Tổ chức thu xếp phát hành > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(22.934.441),(31.756.458),-22934441.0,-31756458.0
TỔNG CỘNG,Tổ chức thu xếp phát hành > TỔNG CỘNG,TỔNG CỘNG,4.948.065.559,5.739.243.542,4948065559.0,5739243542.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Trái phiếu dài hạn,Trong đó: > Trái phiếu dài hạn,Trái phiếu dài hạn,3.199.130.581,3.681.058.998,3199130581.0,3681058998.0
Trái phiếu dài hạn đến hạn trả trong vòng 1 năm,Trong đó: > Trái phiếu dài hạn đến hạn trả trong vòng 1 năm,Trái phiếu dài hạn đến hạn trả trong vòng 1 năm,1.748.934.978,2.058.184.544,1748934978.0,2058184544.0
