row_label_raw,row_label_full,Tên,Chức vụ,Thu nhập (*),Thu nhập (*)_1,numeric__Chức vụ,numeric__Thu nhập (*),numeric__Thu nhập (*)_1
Tên,Tên,Tên,Chức vụ,Năm nay,Năm trước,,,
Ông Đoàn Nguyên Đức,Tên > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch HĐQT,2.418.600,2.574.084,,2418600.0,2574084.0
Ông Võ Trường Sơn,Tên > Ông Võ Trường Sơn,Ông Võ Trường Sơn,Tổng Giám đốc,1.919.007,2.129.349,,1919007.0,2129349.0
Bà Võ Thị Mỹ Hạnh,Tên > Bà Võ Thị Mỹ Hạnh,Bà Võ Thị Mỹ Hạnh,Phó Tổng Giám đốc,1.376.438,1.547.330,,1376438.0,1547330.0
Bà Hồ Thị Kim Chi,Tên > Bà Hồ Thị Kim Chi,Bà Hồ Thị Kim Chi,Phó Tổng Giám đốc,1.086.593,1.271.810,,1086593.0,1271810.0
Bà Đỗ Trần Thủy Trang,Tên > Bà Đỗ Trần Thủy Trang,Bà Đỗ Trần Thủy Trang,Trường BKS,656.613,766.299,,656613.0,766299.0
Ông Trần Văn Dai,Tên > Ông Trần Văn Dai,Ông Trần Văn Dai,Thành viên HĐQT,162.000,108.000,,162000.0,108000.0
Ông Phạm Ngọc Châu,Tên > Ông Phạm Ngọc Châu,Ông Phạm Ngọc Châu,Thành viên BKS,108.000,277.780,,108000.0,277780.0
Ông Lê Hồng Phong,Tên > Ông Lê Hồng Phong,Ông Lê Hồng Phong,Thành viên BKS,108.000,163.800,,108000.0,163800.0
Ông Nguyễn Chí Thắng,Tên > Ông Nguyễn Chí Thắng,Ông Nguyễn Chí Thắng,Thành viên HĐQT,94.500,-,,94500.0,
Bà Võ Thị Huyền Lan,Tên > Bà Võ Thị Huyền Lan,Bà Võ Thị Huyền Lan,Thành viên HĐQT,67.500,256.500,,67500.0,256500.0
Các cá nhân khác,Tên > Các cá nhân khác,Các cá nhân khác,,673.276,1.535.698,,673276.0,1535698.0
TỔNG CỘNG,Tên > TỔNG CỘNG,TỔNG CỘNG,,8.670.527,10.630.650,,8670527.0,10630650.0
