row_label_raw,row_label_full,Công ty Cổ phầnChế biển Thức ănGia sức ĐôngGia Lai,Công tyliên quan,Ứng trước mua hàng hóa và dịch vụ,1.097.734.678,482.478.677,numeric__Công tyliên quan,numeric__Ứng trước mua hàng hóa và dịch vụ,numeric__1.097.734.678,numeric__482.478.677
Công ty TNHHDịch vụ Nông nghiệpTây Nguyên,Công ty TNHHDịch vụ Nông nghiệpTây Nguyên,Công ty TNHHDịch vụ Nông nghiệpTây Nguyên,Công tyliên quan,Ứng trước mua hàng hóa và dịch vụ,674.225.858,130.642.069,,,674225858.0,130642069.0
Công ty Cổ phần GỗHoàng Anh Gia Lai -CN Nhà Máy Nhựa,Công ty Cổ phần GỗHoàng Anh Gia Lai -CN Nhà Máy Nhựa,Công ty Cổ phần GỗHoàng Anh Gia Lai -CN Nhà Máy Nhựa,Công tyliên quan,Ứng trước mua hàng hóa và dịch vụ,5.959.816,7.368.500,,,5959816.0,7368500.0
,,,,,1.777.920.352,620.489.246,,,1777920352.0,620489246.0
