row_label_raw,row_label_full,Tại 31/12/2015,Dưới 1 năm VND > Tại 31/12/2015,Từ 1-5 năm VND > Tại 31/12/2015,Tổng VND > Tại 31/12/2015,numeric__Dưới 1 năm VND > Tại 31/12/2015,numeric__Từ 1-5 năm VND > Tại 31/12/2015,numeric__Tổng VND > Tại 31/12/2015
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,470.061.718.120,-,470.061.718.120,470061718120.0,,470061718120.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,157.059.705.983,-,157.059.705.983,157059705983.0,,157059705983.0
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,-,-,-,,,
Các khoản ký quỹ,Đầu tư ngắn hạn > Các khoản ký quỹ,Các khoản ký quỹ,37.190.398.970,-,37.190.398.970,37190398970.0,,37190398970.0
Cộng,Đầu tư ngắn hạn > Cộng,Cộng,664.311.823.073,-,664.311.823.073,664311823073.0,,664311823073.0
Tại 31/12/2015,Tại 31/12/2015,Tại 31/12/2015,Tại 31/12/2015,Tại 31/12/2015,Tại 31/12/2015,,,
Phải trả người bán và phải trả khác,Tại 31/12/2015 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,204.742.381.014,-,204.742.381.014,204742381014.0,,204742381014.0
Các khoản vay,Tại 31/12/2015 > Các khoản vay,Các khoản vay,486.513.553.568,123.519.006.394,610.032.559.962,486513553568.0,123519006394.0,610032559962.0
Cộng,Tại 31/12/2015 > Cộng,Cộng,691.255.934.582,123.519.006.394,814.774.940.976,691255934582.0,123519006394.0,814774940976.0
Chênh lệch thanh khoản thuần,Tại 31/12/2015 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(26.944.111.509),(123.519.006.394),(150.463.117.903),-26944111509.0,-123519006394.0,-150463117903.0
,,,Dưới 1 năm VND,Từ 1-5 năm VND,Tổng VND,,,
Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,,,
Tiền và các khoản tương đương tiền,Tại 01/01/2015 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,336.807.716.067,-,336.807.716.067,336807716067.0,,336807716067.0
Phải thu khách hàng và phải thu khác,Tại 01/01/2015 > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,173.840.529.058,-,173.840.529.058,173840529058.0,,173840529058.0
Đầu tư ngắn hạn,Tại 01/01/2015 > Đầu tư ngắn hạn,Đầu tư ngắn hạn,30.000.000.000,,30.000.000.000,30000000000.0,,30000000000.0
Các khoản ký quỹ,Tại 01/01/2015 > Các khoản ký quỹ,Các khoản ký quỹ,879.718.370,-,879.718.370,879718370.0,,879718370.0
Cộng,Tại 01/01/2015 > Cộng,Cộng,541.527.963.495,-,541.527.963.495,541527963495.0,,541527963495.0
Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,Tại 01/01/2015,,,
Phải trả người bán và phải trả khác,Tại 01/01/2015 > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,163.792.805.372,-,163.792.805.372,163792805372.0,,163792805372.0
Các khoản vay,Tại 01/01/2015 > Các khoản vay,Các khoản vay,357.120.496.412,99.552.686.682,456.673.183.094,357120496412.0,99552686682.0,456673183094.0
Cộng,Tại 01/01/2015 > Cộng,Cộng,520.913.301.784,99.552.686.682,620.465.988.466,520913301784.0,99552686682.0,620465988466.0
Chênh lệch thanh khoản thuần,Tại 01/01/2015 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,20.614.661.711,(99.552.686.682),(78.938.024.971),20614661711.0,-99552686682.0,-78938024971.0
