row_label_raw,row_label_full,col_0,31/12/2015_Giá trịVND,31/12/2015_Số có khả năngtrả nợVND,01/01/2015_Giá trịVND,01/01/2015_Số có khả năngtrả nợVND,numeric__31/12/2015_Giá trịVND,numeric__31/12/2015_Số có khả năngtrả nợVND,numeric__01/01/2015_Giá trịVND,numeric__01/01/2015_Số có khả năngtrả nợVND
Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,,,,
Phải trả nhà cung cấp nước ngoài,Các khoản phải trả người bán ngắn hạn > Phải trả nhà cung cấp nước ngoài,Phải trả nhà cung cấp nước ngoài,180.611.849.313,180.611.849.313,142.715.431.741,142.715.431.741,180611849313.0,180611849313.0,142715431741.0,142715431741.0
Phải trả nhà cung cấp trong nước,Các khoản phải trả người bán ngắn hạn > Phải trả nhà cung cấp trong nước,Phải trả nhà cung cấp trong nước,20.273.857.847,20.273.857.847,17.973.122.387,17.973.122.387,20273857847.0,20273857847.0,17973122387.0,17973122387.0
Cộng,Các khoản phải trả người bán ngắn hạn > Cộng,Cộng,200.885.707.160,200.885.707.160,160.688.554.128,160.688.554.128,200885707160.0,200885707160.0,160688554128.0,160688554128.0
5.13. Người mua trả tiền trước ngắn hạn,5.13. Người mua trả tiền trước ngắn hạn,5.13. Người mua trả tiền trước ngắn hạn,5.13. Người mua trả tiền trước ngắn hạn,5.13. Người mua trả tiền trước ngắn hạn,5.13. Người mua trả tiền trước ngắn hạn,5.13. Người mua trả tiền trước ngắn hạn,,,,
,,,31/12/2015,31/12/2015,01/01/2015,01/01/2015,,,,
,,,Giá trịVND,Số có khả năngtrả nợVND,Giá trịVND,Số có khả năngtrả nợVND,,,,
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,,
Người mua trả tiền trước nước ngoài,Người mua trả tiền trước ngắn hạn > Người mua trả tiền trước nước ngoài,Người mua trả tiền trước nước ngoài,11.145.282.564,11.145.282.564,6.524.830.241,6.524.830.241,11145282564.0,11145282564.0,6524830241.0,6524830241.0
Người mua trả tiền trước trong nước,Người mua trả tiền trước ngắn hạn > Người mua trả tiền trước trong nước,Người mua trả tiền trước trong nước,1.155.513.000,1.155.513.000,16.820.553,16.820.553,1155513000.0,1155513000.0,16820553.0,16820553.0
Cộng,Người mua trả tiền trước ngắn hạn > Cộng,Cộng,12.300.795.564,12.300.795.564,6.541.650.794,6.541.650.794,12300795564.0,12300795564.0,6541650794.0,6541650794.0
