row_label_raw,row_label_full,NGUỒN VỐN_NGUỒN VỐN,Mã số_Mã số,Số đã báo cáo_VND,Phân loại lại_VND,Số sau phân loại lại_VND,numeric__Mã số_Mã số,numeric__Số đã báo cáo_VND,numeric__Phân loại lại_VND,numeric__Số sau phân loại lại_VND
D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,400,786.325.823.263,-,786.325.823.263,400.0,786325823263.0,,786325823263.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,786.325.823.263,-,786.325.823.263,410.0,786325823263.0,,786325823263.0
4. Quỹ đầu tư phát triển,4. Quỹ đầu tư phát triển,4. Quỹ đầu tư phát triển,418,15.755.216.989,15.633.790.741,31.389.007.730,418.0,15755216989.0,15633790741.0,31389007730.0
Quỹ dự phòng tài chính (*),Quỹ dự phòng tài chính (*),Quỹ dự phòng tài chính (*),,15.633.790.741,(15.633.790.741),-,,15633790741.0,-15633790741.0,
TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,440,1.421.650.734.913,-,1.421.650.734.913,440.0,1421650734913.0,,1421650734913.0
