row_label_raw,row_label_full,col_0,Giá trị ghi sổ > 31/12/2015VND,Giá trị ghi sổ > 01/01/2015VND,numeric__Giá trị ghi sổ > 31/12/2015VND,numeric__Giá trị ghi sổ > 01/01/2015VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,470.061.718.120,336.807.716.067,470061718120.0,336807716067.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,157.059.705.983,173.840.529.058,157059705983.0,173840529058.0
Đầu tư ngắn hạn,Tài sản tài chính > Đầu tư ngắn hạn,Đầu tư ngắn hạn,-,30.000.000.000,,30000000000.0
Các khoản ký quỹ,Tài sản tài chính > Các khoản ký quỹ,Các khoản ký quỹ,37.190.398.970,879.718.370,37190398970.0,879718370.0
Cộng,Tài sản tài chính > Cộng,Cộng,664.311.823.073,541.527.963.495,664311823073.0,541527963495.0
Cộng nợ tài chính,Cộng nợ tài chính,Cộng nợ tài chính,Cộng nợ tài chính,Cộng nợ tài chính,,
Các khoản vay và nợ,Cộng nợ tài chính > Các khoản vay và nợ,Các khoản vay và nợ,610.032.559.962,456.673.183.094,610032559962.0,456673183094.0
Phải trả người bán và phải trả khác,Cộng nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,204.742.381.014,163.792.805.372,204742381014.0,163792805372.0
Cộng,Cộng nợ tài chính > Cộng,Cộng,814.774.940.976,620.465.988.466,814774940976.0,620465988466.0
