row_label_raw,row_label_full,col_0,Tài sân,Tài sân_1,numeric__Tài sân,numeric__Tài sân_1
,,,31/12/2015 USD,01/01/2015 USD,,
Đô la Mỹ (USD),Đô la Mỹ (USD),Đô la Mỹ (USD),"11.116.022,66","10.708.183,18",11116022.66,10708183.18
- Tiền và các khoản tương đương tiền,- Tiền và các khoản tương đương tiền,- Tiền và các khoản tương đương tiền,"6.651.809,70","5.187.711,74",6651809.7,5187711.74
- Phải thu khách hàng và phải thu khác,- Phải thu khách hàng và phải thu khác,- Phải thu khách hàng và phải thu khác,"4.464.212,96","5.520.471,44",4464212.96,5520471.44
- Trả trước cho người bán ngắn hạn,- Trả trước cho người bán ngắn hạn,- Trả trước cho người bán ngắn hạn,"1.033.950,65","1.500,00",1033950.65,1500.0
,,,Công nợ,Công nợ,,
Đô la Mỹ (USD),Đô la Mỹ (USD),Đô la Mỹ (USD),"21.149.945,28","17.193.009,55",21149945.28,17193009.55
- Các khoản vay,- Các khoản vay,- Các khoản vay,"12.652.492,09","10.236.677,01",12652492.09,10236677.01
- Phải trả người bán và phải trả khác,- Phải trả người bán và phải trả khác,- Phải trả người bán và phải trả khác,"8.043.195,94","6.675.596,04",8043195.94,6675596.04
- Người mua trả tiền trước ngắn hạn,- Người mua trả tiền trước ngắn hạn,- Người mua trả tiền trước ngắn hạn,"454.257,25","280.736,50",454257.25,280736.5
