row_label_raw,row_label_full,CHÍ TIÊU,Mã số,Thuyết minh,Năm 2015,Năm 2014,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2015,numeric__Năm 2014
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,,1.616.048.818.116,1.564.763.399.903,1.0,,1616048818116.0,1564763399903.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,1.499.870.215,4.119.790.812,2.0,,1499870215.0,4119790812.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,6.1,1.614.548.947.901,1.560.643.609.091,10.0,61.0,1614548947901.0,1560643609091.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,6.2,1.424.741.156.735,1.377.898.703.125,11.0,62.0,1424741156735.0,1377898703125.0
5. Lợi nhuận góp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận góp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận góp về bán hàng và cung cấp dịch vụ,20,,189.807.791.166,182.744.905.966,20.0,,189807791166.0,182744905966.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,6.3,22.394.967.435,8.331.971.297,21.0,63.0,22394967435.0,8331971297.0
7. Chỉ phí hoạt động tài chính,7. Chỉ phí hoạt động tài chính,7. Chỉ phí hoạt động tài chính,22,6.4,49.991.756.319,25.896.787.122,22.0,64.0,49991756319.0,25896787122.0
- Trong đó: Chỉ phí lãi vay,- Trong đó: Chỉ phí lãi vay,- Trong đó: Chỉ phí lãi vay,23,,24.065.811.358,17.187.219.661,23.0,,24065811358.0,17187219661.0
"8. Lãi(lỗ) trong công ty liên kết, liên doanh","8. Lãi(lỗ) trong công ty liên kết, liên doanh","8. Lãi(lỗ) trong công ty liên kết, liên doanh",24,,3.381.873.750,6.282.567.272,24.0,,3381873750.0,6282567272.0
9. Chỉ phí bán hàng,9. Chỉ phí bán hàng,9. Chỉ phí bán hàng,25,6.5,75.230.050.612,78.937.784.265,25.0,65.0,75230050612.0,78937784265.0
10. Chỉ phí quản lý doanh nghiệp,10. Chỉ phí quản lý doanh nghiệp,10. Chỉ phí quản lý doanh nghiệp,26,6.5,41.608.410.264,35.977.045.351,26.0,65.0,41608410264.0,35977045351.0
11 Lợi nhuận thuần từ hoạt động kinh doanh,11 Lợi nhuận thuần từ hoạt động kinh doanh,11 Lợi nhuận thuần từ hoạt động kinh doanh,30,,48.754.415.156,56.547.827.797,30.0,,48754415156.0,56547827797.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,,1.864.669.013,6.176.730.992,31.0,,1864669013.0,6176730992.0
13. Chỉ phí khác,13. Chỉ phí khác,13. Chỉ phí khác,32,,4.161.615,5.524.254.412,32.0,,4161615.0,5524254412.0
14. Lợi nhuận khác,14. Lợi nhuận khác,14. Lợi nhuận khác,40,,1.860.507.398,652.476.580,40.0,,1860507398.0,652476580.0
15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,15. Tổng lợi nhuận kế toán trước thuế,50,,50.614.922.554,57.200.304.377,50.0,,50614922554.0,57200304377.0
16. Chỉ phí thuế TNDN hiện hành,16. Chỉ phí thuế TNDN hiện hành,16. Chỉ phí thuế TNDN hiện hành,51,6.6,10.029.634.651,9.175.466.515,51.0,66.0,10029634651.0,9175466515.0
17. Chỉ phí thuế TNDN hoãn lại,17. Chỉ phí thuế TNDN hoãn lại,17. Chỉ phí thuế TNDN hoãn lại,52,,36.474.306,243.962.755,52.0,,36474306.0,243962755.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,40.548.813.597,47.780.875.107,60.0,,40548813597.0,47780875107.0
- Lợi nhuận sau thuế của công ty mẹ,- Lợi nhuận sau thuế của công ty mẹ,- Lợi nhuận sau thuế của công ty mẹ,61,,40.015.870.985,46.963.561.091,61.0,,40015870985.0,46963561091.0
- Lợi nhuận sau thuế của cổ đông không kiểm soát,- Lợi nhuận sau thuế của cổ đông không kiểm soát,- Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,532.942.612,817.314.016,62.0,,532942612.0,817314016.0
19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,70,6.8,642,1.197,70.0,68.0,642.0,1197.0
20. Lãi suy giám trên cổ phiếu,20. Lãi suy giám trên cổ phiếu,20. Lãi suy giám trên cổ phiếu,71,6.8,642,1.197,71.0,68.0,642.0,1197.0
