row_label_raw,row_label_full,col_0,Số cổ phiếu phổ thông bình quân gia quyền,Lãi cơ bản trên cổ phiếu,numeric__Số cổ phiếu phổ thông bình quân gia quyền,numeric__Lãi cơ bản trên cổ phiếu
Theo Báo cáo tài chính năm 2014,Theo Báo cáo tài chính năm 2014,Theo Báo cáo tài chính năm 2014,24.784.293,1.895,24784293.0,1895.0
Ảnh hưởng của cổ phiếu phát hành bằng cổ tức năm 2015,Ảnh hưởng của cổ phiếu phát hành bằng cổ tức năm 2015,Ảnh hưởng của cổ phiếu phát hành bằng cổ tức năm 2015,9.899.988,(698),9899988.0,-698.0
Số đã điều chỉnh lại,Số đã điều chỉnh lại,Số đã điều chỉnh lại,34.684.281,1.197,34684281.0,1197.0
