row_label_raw,row_label_full,TÀI SẢN,Mã số,Số đã báo cáo > VND,Phân loại lại > VND,Số sau phân loại lại > VND,numeric__Mã số,numeric__Số đã báo cáo > VND,numeric__Phân loại lại > VND,numeric__Số sau phân loại lại > VND
A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,100,694.379.188.147,-,694.379.188.147,100.0,694379188147.0,,694379188147.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,154.088.536.599,25.204.099.470,179.292.636.069,130.0,154088536599.0,25204099470.0,179292636069.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,27.192.895.089,25.203.684.749,52.396.579.838,136.0,27192895089.0,25203684749.0,52396579838.0
5. Tài sản thiếu chờ xử lý,5. Tài sản thiếu chờ xử lý,5. Tài sản thiếu chờ xử lý,139,-,414.721,414.721,139.0,,414721.0,414721.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,35.960.847.572,(25.204.099.470),10.756.748.102,150.0,35960847572.0,-25204099470.0,10756748102.0
4. Tài sản ngắn hạn khác,4. Tài sản ngắn hạn khác,4. Tài sản ngắn hạn khác,155,25.204.099.470,(25.204.099.470),-,155.0,25204099470.0,-25204099470.0,
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,1.421.650.734.913,-,1.421.650.734.913,270.0,1421650734913.0,,1421650734913.0
