row_label_raw,row_label_full,col_0,Bảng cán đối kế toán hợp nhất,Bảng cán đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cán đối kế toán hợp nhất,numeric__Bảng cán đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Thuế TNDN tạm nộp,Tài sản thuế thu nhập hoãn lại > Thuế TNDN tạm nộp,Thuế TNDN tạm nộp,3.347.273.271,23.421.802.665,(20.074.529.394),23.353.839.498,3347273271.0,23421802665.0,-20074529394.0,23353839498.0
Dự phòng hàng tồn kho,Tài sản thuế thu nhập hoãn lại > Dự phòng hàng tồn kho,Dự phòng hàng tồn kho,54.168.262.683,25.921.382.519,28.246.880.164,25.921.382.519,54168262683.0,25921382519.0,28246880164.0,25921382519.0
Chi phí tư vấn,Tài sản thuế thu nhập hoãn lại > Chi phí tư vấn,Chi phí tư vấn,7.319.562.848,5.888.000.000,1.431.562.848,5.888.000.000,7319562848.0,5888000000.0,1431562848.0,5888000000.0
"Chi phí phân bổ công cụ, dụng cụ","Tài sản thuế thu nhập hoãn lại > Chi phí phân bổ công cụ, dụng cụ","Chi phí phân bổ công cụ, dụng cụ",324.786.970,368.666.450,(43.879.480),368.666.450,324786970.0,368666450.0,-43879480.0,368666450.0
Lợi nhuận chưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,26.649.869.448,3.041.567.252,23.608.302.196,264.393.428,26649869448.0,3041567252.0,23608302196.0,264393428.0
,,,91.809.755.220,58.641.418.886,,,91809755220.0,58641418886.0,,
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
"Chi phí phân bổ công cụ, dụng cụ","Thuế thu nhập hoãn lại phải trả > Chi phí phân bổ công cụ, dụng cụ","Chi phí phân bổ công cụ, dụng cụ",(10.265.985.499),(14.728.422.054),4.462.436.555,(1.980.501.372),-10265985499.0,-14728422054.0,4462436555.0,-1980501372.0
Chi phí lãi trái phiếu chuyển đổi,Thuế thu nhập hoãn lại phải trả > Chi phí lãi trái phiếu chuyển đổi,Chi phí lãi trái phiếu chuyển đổi,(5.844.471.989),(12.010.708.808),6.166.236.819,6.088.598.158,-5844471989.0,-12010708808.0,6166236819.0,6088598158.0
Chi phí vốn hóa lãi vay,Thuế thu nhập hoãn lại phải trả > Chi phí vốn hóa lãi vay,Chi phí vốn hóa lãi vay,(3.675.510.289),(8.044.794.521),4.369.284.232,(1.302.520.273),-3675510289.0,-8044794521.0,4369284232.0,-1302520273.0
,,,(19.785.967.777),(34.783.925.383),,,-19785967777.0,-34783925383.0,,
Tài sản thuế thu nhập hoãn lại thuần,Thuế thu nhập hoãn lại phải trả > Tài sản thuế thu nhập hoãn lại thuần,Tài sản thuế thu nhập hoãn lại thuần,72.023.787.443,23.857.493.503,,,72023787443.0,23857493503.0,,
Thu nhập thuế thu nhập hoãn lại tỉnh vào báo cáo kết quả hoạt động kinh doanh hợp nhất,Thuế thu nhập hoãn lại phải trả > Thu nhập thuế thu nhập hoãn lại tỉnh vào báo cáo kết quả hoạt động kinh doanh hợp nhất,Thu nhập thuế thu nhập hoãn lại tỉnh vào báo cáo kết quả hoạt động kinh doanh hợp nhất,,,48.166.293.940,58.601.858.408,,,48166293940.0,58601858408.0
