row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,1.864.841.561.755,2.199.424.077.267,1864841561755.0,2199424077267.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,1.602.710.780.211,1.943.960.294.104,1602710780211.0,1943960294104.0
Doanh thu cung cấp dịch vụ lưu trú,Trong đó: > Doanh thu cung cấp dịch vụ lưu trú,Doanh thu cung cấp dịch vụ lưu trú,173.707.023.247,153.327.381.779,173707023247.0,153327381779.0
Doanh thu cung cấp dịch vụ khác,Trong đó: > Doanh thu cung cấp dịch vụ khác,Doanh thu cung cấp dịch vụ khác,88.423.758.297,102.136.401.384,88423758297.0,102136401384.0
Giảm trừ doanh thu,Trong đó: > Giảm trừ doanh thu,Giảm trừ doanh thu,-,(47.338.571.505),,-47338571505.0
Hàng bán bị trả lại,Trong đó: > Hàng bán bị trả lại,Hàng bán bị trả lại,-,(47.338.571.505),,-47338571505.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,1.864.841.561.755,2.152.085.505.762,1864841561755.0,2152085505762.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu thuần từ chuyển nhượng bất động sản,Trong đó: > Doanh thu thuần từ chuyển nhượng bất động sản,Doanh thu thuần từ chuyển nhượng bất động sản,1.602.710.780.211,1.896.621.722.599,1602710780211.0,1896621722599.0
Doanh thu thuần từ cung cấp dịch vụ lưu trú,Trong đó: > Doanh thu thuần từ cung cấp dịch vụ lưu trú,Doanh thu thuần từ cung cấp dịch vụ lưu trú,173.707.023.247,153.327.381.779,173707023247.0,153327381779.0
Doanh thu thuần khác,Trong đó: > Doanh thu thuần khác,Doanh thu thuần khác,88.423.758.297,102.136.401.384,88423758297.0,102136401384.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với các bên khác,Trong đó: > Doanh thu đối với các bên khác,Doanh thu đối với các bên khác,1.864.683.161.755,2.152.085.505.762,1864683161755.0,2152085505762.0
Doanh thu đối với các bên liên quan(Thuyết minh số 32),Trong đó: > Doanh thu đối với các bên liên quan(Thuyết minh số 32),Doanh thu đối với các bên liên quan(Thuyết minh số 32),158.400.000,-,158400000.0,
