row_label_raw,row_label_full,Các bên liên quan > Phải thu ngắn hạn khách hàng (Thuyết minh số 6.1) > Công ty Cổ phần Abey Holdings,Mối quan hệ > Phải thu ngắn hạn khách hàng (Thuyết minh số 6.1) > Bên liên quan khác từ ngày 4 tháng 1 năm 2023,Nội dung nghiệp vụ > Phải thu ngắn hạn khách hàng (Thuyết minh số 6.1) > Phải thu cung cấp dịch vụ,Số cuối năm > Phải thu ngắn hạn khách hàng (Thuyết minh số 6.1) > 263.729.001,Đơn vị tính: VND > Phải thu ngắn hạn khách hàng (Thuyết minh số 6.1) > -,numeric__Mối quan hệ > Phải thu ngắn hạn khách hàng (Thuyết minh số 6.1) > Bên liên quan khác từ ngày 4 tháng 1 năm 2023,numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khách hàng (Thuyết minh số 6.1) > Phải thu cung cấp dịch vụ,numeric__Số cuối năm > Phải thu ngắn hạn khách hàng (Thuyết minh số 6.1) > 263.729.001,numeric__Đơn vị tính: VND > Phải thu ngắn hạn khách hàng (Thuyết minh số 6.1) > -
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,263.729.001,-,,,263729001.0,
Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),,,,
Công ty Cổ phần Đầu tư Phong Phú,Phải thu dài hạn khác (Thuyết minh số 8) > Công ty Cổ phần Đầu tư Phong Phú,Công ty Cổ phần Đầu tư Phong Phú,Công ty liên kết,Đặt cọc hợp tác đầu tư (i),452.617.690.000,452.617.690.000,,,452617690000.0,452617690000.0
Công ty Cổ phần Tập đoàn Phú Mỹ,Phải thu dài hạn khác (Thuyết minh số 8) > Công ty Cổ phần Tập đoàn Phú Mỹ,Công ty Cổ phần Tập đoàn Phú Mỹ,Cùng thành viên hội đồng quản trị,Đặt cọc hợp tác đầu tư,340.000.000,-,,,340000000.0,
TỔNG CỘNG,Phải thu dài hạn khác (Thuyết minh số 8) > TỔNG CỘNG,TỔNG CỘNG,,,452.957.690.000,452.617.690.000,,,452957690000.0,452617690000.0
