row_label_raw,row_label_full,Đơn vị tính: VND > Các bên liên quan,Đơn vị tính: VND > Mối quan hệ,Đơn vị tính: VND > Nội dung nghiệp vụ,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Mối quan hệ,numeric__Đơn vị tính: VND > Nội dung nghiệp vụ,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,Công ty liên doanh,Góp vốn,1.847.571.000,1.983.900.000,,,1847571000.0,1983900000.0
Công ty Cổ phần Đầu tư Hà Phú Riverland,Công ty Cổ phần Đầu tư Hà Phú Riverland,Công ty Cổ phần Đầu tư Hà Phú Riverland,Công ty liên kết,Góp vốn,15.000.000.000,-,,,15000000000.0,
Công ty Cổ phần Abey Holdings,Công ty Cổ phần Abey Holdings,Công ty Cổ phần Abey Holdings,Bên liên quan khác từ ngày 4 tháng 1 năm 2023,Doanh thu cung cấp dịch vụ Lãi cho vay Thu hồi gốc cho vay,158.400.000 814.109.588 10.000.000.000,- - -,,,,
