row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong kỳ > Tăng,Số phát sinh trong kỳ > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong kỳ > Tăng,numeric__Số phát sinh trong kỳ > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngắn hạn ngân hàng(Thuyết minh số 22.1),Vay ngắn hạn > Vay ngắn hạn ngân hàng(Thuyết minh số 22.1),Vay ngắn hạn ngân hàng(Thuyết minh số 22.1),122.142.795.566,122.142.795.566,147.409.518.419,(119.661.470.009),149.890.843.976,149.890.843.976,122142795566.0,122142795566.0,147409518419.0,-119661470009.0,149890843976.0,149890843976.0
Vay ngân hàng dài hạnđến hạn trả(Thuyết minh số 22.2),Vay ngắn hạn > Vay ngân hàng dài hạnđến hạn trả(Thuyết minh số 22.2),Vay ngân hàng dài hạnđến hạn trả(Thuyết minh số 22.2),595.199.353.490,595.199.353.490,782.736.551.620,(595.199.353.490),782.736.551.620,782.736.551.620,595199353490.0,595199353490.0,782736551620.0,-595199353490.0,782736551620.0,782736551620.0
Vay đối tượng khác(Thuyết minh số 22.3),Vay ngắn hạn > Vay đối tượng khác(Thuyết minh số 22.3),Vay đối tượng khác(Thuyết minh số 22.3),77.400.000.000,77.400.000.000,22.000.000.000,(70.500.000.000),28.900.000.000,28.900.000.000,77400000000.0,77400000000.0,22000000000.0,-70500000000.0,28900000000.0,28900000000.0
Trái phiếu phát hành dài hạn đến hạn trả(Thuyết minh số 22.4),Vay ngắn hạn > Trái phiếu phát hành dài hạn đến hạn trả(Thuyết minh số 22.4),Trái phiếu phát hành dài hạn đến hạn trả(Thuyết minh số 22.4),-,-,402.981.832.373,-,402.981.832.373,402.981.832.373,,,402981832373.0,,402981832373.0,402981832373.0
Trái phiếu chuyển đổi dài hạn đến hạn trả(Thuyết minh số 22.5),Vay ngắn hạn > Trái phiếu chuyển đổi dài hạn đến hạn trả(Thuyết minh số 22.5),Trái phiếu chuyển đổi dài hạn đến hạn trả(Thuyết minh số 22.5),-,-,731.140.249.737,-,731.140.249.737,731.140.249.737,,,731140249737.0,,731140249737.0,731140249737.0
,,,794.742.149.056,794.742.149.056,2.086.268.152.149,(785.360.823.499),2.095.649.477.706,2.095.649.477.706,794742149056.0,794742149056.0,2086268152149.0,-785360823499.0,2095649477706.0,2095649477706.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh số 22.2),Vay dài hạn > Vay ngân hàng(Thuyết minh số 22.2),Vay ngân hàng(Thuyết minh số 22.2),1.956.890.611.924,1.956.890.611.924,1.437.209.332.925,(956.156.739.000),2.437.943.205.849,2.437.943.205.849,1956890611924.0,1956890611924.0,1437209332925.0,-956156739000.0,2437943205849.0,2437943205849.0
Vay dài hạn đối tượngkhác(Thuyết minh số 22.3),Vay dài hạn > Vay dài hạn đối tượngkhác(Thuyết minh số 22.3),Vay dài hạn đối tượngkhác(Thuyết minh số 22.3),550.000.000.000,550.000.000.000,33.950.000.000,-,583.950.000.000,583.950.000.000,550000000000.0,550000000000.0,33950000000.0,,583950000000.0,583950000000.0
Trái phiếu phát hành(Thuyết minh số 22.4),Vay dài hạn > Trái phiếu phát hành(Thuyết minh số 22.4),Trái phiếu phát hành(Thuyết minh số 22.4),664.681.160.455,664.681.160.455,5.334.298.196,(429.081.832.373),240.933.626.278,240.933.626.278,664681160455.0,664681160455.0,5334298196.0,-429081832373.0,240933626278.0,240933626278.0
,,,3.171.571.772.379,3.171.571.772.379,1.476.493.631.121,(1.385.238.571.373),3.262.826.832.127,3.262.826.832.127,3171571772379.0,3171571772379.0,1476493631121.0,-1385238571373.0,3262826832127.0,3262826832127.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,3.966.313.921.435,3.966.313.921.435,3.562.761.783.270,(2.170.599.394.872),5.358.476.309.833,5.358.476.309.833,3966313921435.0,3966313921435.0,3562761783270.0,-2170599394872.0,5358476309833.0,5358476309833.0
