row_label_raw,row_label_full,Bên tư vấn phát hành > Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại thương Việt Nam,Số cuối năm (VND) > 240.933.626.278 > 224.535.459.195 > 178.446.373.178,Ngày đáo hạn > Gốc trái phiếu được đáo hạn vào tháng 4 năm 2025. Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành. > Gốc trái phiếu đáo hạn tháng 4 năm 2024. Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành.,"Lãi suất (%/năm) > 10,5% > 10,3%",Tài sản đảm bảo > 12.100.000 cổ phiếu phổ thông của Công ty được nằm giữ bởi bên thứ 3 > Khối để công trình cao tầng thuộc Dự án The Terra An Hưng và 1.980.000 cổ phiếu phổ thông của Công ty được nằm giữ bởi bên thứ ba > 15.125.000 cổ phiếu phổ thông của Công ty được nằm giữ bởi bên thứ ba.,numeric__Số cuối năm (VND) > 240.933.626.278 > 224.535.459.195 > 178.446.373.178,numeric__Ngày đáo hạn > Gốc trái phiếu được đáo hạn vào tháng 4 năm 2025. Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành. > Gốc trái phiếu đáo hạn tháng 4 năm 2024. Lãi được thanh toán 6 tháng một lần kể từ ngày phát hành.,"numeric__Lãi suất (%/năm) > 10,5% > 10,3%",numeric__Tài sản đảm bảo > 12.100.000 cổ phiếu phổ thông của Công ty được nằm giữ bởi bên thứ 3 > Khối để công trình cao tầng thuộc Dự án The Terra An Hưng và 1.980.000 cổ phiếu phổ thông của Công ty được nằm giữ bởi bên thứ ba > 15.125.000 cổ phiếu phổ thông của Công ty được nằm giữ bởi bên thứ ba.
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,643.915.458.651,,,,643915458651.0,,,
Trong đó:- Trái phiếu dài hạn đến hạn trả- Trái phiếu dài hạn,Trong đó:- Trái phiếu dài hạn đến hạn trả- Trái phiếu dài hạn,Trong đó:- Trái phiếu dài hạn đến hạn trả- Trái phiếu dài hạn,402.981.832.373240.933.626.278,,,,4.0298183237324094e+23,,,
