row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm,Đơn vị tính: VND > Số đầu năm_1,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số đầu năm_1
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tạm ứng để phục vụ phát triển các dự án,Ngắn hạn > Tạm ứng để phục vụ phát triển các dự án,Tạm ứng để phục vụ phát triển các dự án,424.467.988.092,-,383.922.385.844,-,424467988092.0,,383922385844.0,
"Dự thu lãi cho vay, tiền gửi","Ngắn hạn > Dự thu lãi cho vay, tiền gửi","Dự thu lãi cho vay, tiền gửi",122.506.002.995,-,108.731.630.875,-,122506002995.0,,108731630875.0,
Tạm ứng mua cổ phần,Ngắn hạn > Tạm ứng mua cổ phần,Tạm ứng mua cổ phần,50.000.000.000,-,50.000.000.000,-,50000000000.0,,50000000000.0,
"Ký quỹ, ký cược ngắn hạn","Ngắn hạn > Ký quỹ, ký cược ngắn hạn","Ký quỹ, ký cược ngắn hạn",46.114.591.900,-,45.104.591.900,-,46114591900.0,,45104591900.0,
Tạm ứng cho nhân viên khác,Ngắn hạn > Tạm ứng cho nhân viên khác,Tạm ứng cho nhân viên khác,35.098.447.926,(20.802.771.798),26.698.410.380,(15.544.378.661),35098447926.0,-20802771798.0,26698410380.0,-15544378661.0
Tạm ứng bồi thường và giải phóng mặt bằng,Ngắn hạn > Tạm ứng bồi thường và giải phóng mặt bằng,Tạm ứng bồi thường và giải phóng mặt bằng,12.563.144.686,-,41.635.912.987,-,12563144686.0,,41635912987.0,
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,19.155.822.264,(1.280.196.400),95.471.012.337,(1.280.196.400),19155822264.0,-1280196400.0,95471012337.0,-1280196400.0
Đặt cọc hợp tác đầu tư (*),Ngắn hạn > Đặt cọc hợp tác đầu tư (*),Đặt cọc hợp tác đầu tư (*),250.000.000.000,-,250.000.000.000,-,250000000000.0,,250000000000.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,959.905.997.863,(22.082.968.198),1.001.563.944.323,(16.824.575.061),959905997863.0,-22082968198.0,1001563944323.0,-16824575061.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
"Dự thu lãi cho vay, tiền gửi","Dài hạn > Dự thu lãi cho vay, tiền gửi","Dự thu lãi cho vay, tiền gửi",26.343.504.096,-,-,-,26343504096.0,,,
Tạm ứng bồi thường và giải phóng mặt bằng,Dài hạn > Tạm ứng bồi thường và giải phóng mặt bằng,Tạm ứng bồi thường và giải phóng mặt bằng,20.957.544.103,-,20.957.544.102,-,20957544103.0,,20957544102.0,
Đặt cọc hợp tác đầu tư (**),Dài hạn > Đặt cọc hợp tác đầu tư (**),Đặt cọc hợp tác đầu tư (**),193.000.000.000,-,12.000.000.000,-,193000000000.0,,12000000000.0,
Phải thu dài hạn khác,Dài hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,-,-,11.460.958.785,-,,,11460958785.0,
Phải thu từ các bên liên quan(Thuyết minh số 32),Dài hạn > Phải thu từ các bên liên quan(Thuyết minh số 32),Phải thu từ các bên liên quan(Thuyết minh số 32),452.957.690.000,-,452.617.690.000,-,452957690000.0,,452617690000.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,693.258.738.199,-,497.036.192.887,-,693258738199.0,,497036192887.0,
