row_label_raw,row_label_full,Cổ tức đã công bố và đã trả trong năm,Năm nay > Cổ tức đã công bố và đã trả trong năm,Đơn vị tính: VND > Cổ tức đã công bố và đã trả trong năm,numeric__Năm nay > Cổ tức đã công bố và đã trả trong năm,numeric__Đơn vị tính: VND > Cổ tức đã công bố và đã trả trong năm
Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,,
Cổ tức trả bằng cổ phiếu cho năm 2021(1 cổ phiếu/10 cổ phiếu hiện hữu),Cổ tức trên cổ phiếu phổ thông > Cổ tức trả bằng cổ phiếu cho năm 2021(1 cổ phiếu/10 cổ phiếu hiện hữu),Cổ tức trả bằng cổ phiếu cho năm 2021(1 cổ phiếu/10 cổ phiếu hiện hữu),-,219.998.370.000,,219998370000.0
Cổ tức trả bằng tiền cho năm 2022(1.000 VND/cổ phiếu),Cổ tức trên cổ phiếu phổ thông > Cổ tức trả bằng tiền cho năm 2022(1.000 VND/cổ phiếu),Cổ tức trả bằng tiền cho năm 2022(1.000 VND/cổ phiếu),241.999.617.000,-,241999617000.0,
