row_label_raw,row_label_full,Ngân hàng > Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Thủ Thiêm và Ngân hàng TNHH Indovina – Chi nhánh Thiên Long Trong đó: Vay dài hạn đến hạn trả > Ngân hàng TNHH Indovina – Chi nhánh Thiên Long Trong đó: Vay dài hạn đến hạn trả,Ngày 31 tháng 12năm 2023(VND) > 794.863.391.340 > 50.000.000.000 > 520.581.758.665,Kỳ hạn trả gốc và lãi > Gốc và lãi được thanh toán 6 tháng một lần từ tháng 11 năm 2024 đến tháng 5 năm 2028. > Gốc và lãi được thanh toán 6 tháng một lần từ tháng 5 năm 2024 đến tháng 12 năm 2028.,"Lãi suất(%/năm) > 9% > 10,2% - 11,9%",Hình thứcđảm bảo > (iii),numeric__Ngày 31 tháng 12năm 2023(VND) > 794.863.391.340 > 50.000.000.000 > 520.581.758.665,numeric__Kỳ hạn trả gốc và lãi > Gốc và lãi được thanh toán 6 tháng một lần từ tháng 11 năm 2024 đến tháng 5 năm 2028. > Gốc và lãi được thanh toán 6 tháng một lần từ tháng 5 năm 2024 đến tháng 12 năm 2028.,"numeric__Lãi suất(%/năm) > 9% > 10,2% - 11,9%",numeric__Hình thứcđảm bảo > (iii)
Ngân hàng TNHH Indovina – Chi nhánh Thiên Long Trong đó: Vay dài hạn đến hạn trả,Ngân hàng TNHH Indovina – Chi nhánh Thiên Long Trong đó: Vay dài hạn đến hạn trả,Ngân hàng TNHH Indovina – Chi nhánh Thiên Long Trong đó: Vay dài hạn đến hạn trả,35.879.000.000,,,,35879000000.0,,,
Ngân hàng TMCP Quân Đội – Chi nhánh Trần Duy Hưng Trong đó: Vay dài hạn đến hạn trả,Ngân hàng TMCP Quân Đội – Chi nhánh Trần Duy Hưng Trong đó: Vay dài hạn đến hạn trả,Ngân hàng TMCP Quân Đội – Chi nhánh Trần Duy Hưng Trong đó: Vay dài hạn đến hạn trả,77.087.728.886,Gốc vay thanh toán 3 tháng một lần kể từ tháng 10 năm 2024 tới tháng 10 năm 2026. Lãi thanh toán hàng tháng.,"9,8% - 13,15%",(iv),77087728886.0,,,
Ngân hàng TMCP Quân Đội – Chi nhánh Trần Duy Hưng Trong đó: Vay dài hạn đến hạn trả,Ngân hàng TMCP Quân Đội – Chi nhánh Trần Duy Hưng Trong đó: Vay dài hạn đến hạn trả,Ngân hàng TMCP Quân Đội – Chi nhánh Trần Duy Hưng Trong đó: Vay dài hạn đến hạn trả,8.565.303.210,,,,8565303210.0,,,
Ngân hàng TMCP Quân đội – Chi nhánh Điện Biên Phù,Ngân hàng TMCP Quân đội – Chi nhánh Điện Biên Phù,Ngân hàng TMCP Quân đội – Chi nhánh Điện Biên Phù,348.250.334.875,Gốc được thanh toán 6 tháng 1 lần kể từ tháng 4 năm 2022 đến tháng 4 năm 2036. Lãi thanh toán 3 tháng/lần.,"9,7% - 11,9%",(v),348250334875.0,,,
Ngân hàng TMCP Việt Nam Thịnh Vượng – Hội sở chính Trong đó: Vay dài hạn đến hạn trả,Ngân hàng TMCP Việt Nam Thịnh Vượng – Hội sở chính Trong đó: Vay dài hạn đến hạn trả,Ngân hàng TMCP Việt Nam Thịnh Vượng – Hội sở chính Trong đó: Vay dài hạn đến hạn trả,770.419.543.703,Gốc được thanh toán 6 tháng 1 lần kể từ tháng 3 năm 2023 đến tháng 3 năm 2025. Lãi được thanh toán hàng tháng,"12,5% - 13,2%",(vi),770419543703.0,,,
Ngân hàng TMCP Việt Nam Thịnh Vượng – Hội sở chính Trong đó: Vay dài hạn đến hạn trả,Ngân hàng TMCP Việt Nam Thịnh Vượng – Hội sở chính Trong đó: Vay dài hạn đến hạn trả,Ngân hàng TMCP Việt Nam Thịnh Vượng – Hội sở chính Trong đó: Vay dài hạn đến hạn trả,595.822.248.410,,,,595822248410.0,,,
Ngân hàng TMCP Việt Nam Thịnh Vượng – Hội sở chính Trong đó: Vay dài hạn đến hạn trả,Ngân hàng TMCP Việt Nam Thịnh Vượng – Hội sở chính Trong đó: Vay dài hạn đến hạn trả,Ngân hàng TMCP Việt Nam Thịnh Vượng – Hội sở chính Trong đó: Vay dài hạn đến hạn trả,122.677.000.000,Gốc được thanh toán 6 tháng 1 lần từ tháng 3 năm 2024 đến tháng 3 năm 2026. Lãi được thanh toán hàng tháng.,"13,2%",(vii),122677000000.0,,0.132,
Ngân hàng TMCP Việt Nam Thịnh Vượng – Hội sở chính Trong đó: Vay dài hạn đến hạn trả,Ngân hàng TMCP Việt Nam Thịnh Vượng – Hội sở chính Trong đó: Vay dài hạn đến hạn trả,Ngân hàng TMCP Việt Nam Thịnh Vượng – Hội sở chính Trong đó: Vay dài hạn đến hạn trả,49.070.000.000,,,,49070000000.0,,,
Ngân hàng TMCP Việt Nam Thịnh Vượng – Hội sở chính,Ngân hàng TMCP Việt Nam Thịnh Vượng – Hội sở chính,Ngân hàng TMCP Việt Nam Thịnh Vượng – Hội sở chính,500.000.000.000,Gốc được thanh toán 6 tháng 1 lần từ tháng 3 năm 2025 đến tháng 12 năm 2028. Lãi được thanh toán hàng tháng.,"13,5%",(viii),500000000000.0,,0.135,
Ngân hàng TMCP Bắc Á,Ngân hàng TMCP Bắc Á,Ngân hàng TMCP Bắc Á,86.800.000.000,Gốc vay được thanh toán 3 tháng 1 lần từ tháng 5 năm 2024 đến tháng 8 năm 2025. Lãi thanh toán 3 tháng/lần.,"12,45%",(ix),86800000000.0,,0.1245,
