row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Trích trước chi phí phát triển bất động sản Dự ánHùng Sơn - Thanh Hóa,Ngắn hạn > Trích trước chi phí phát triển bất động sản Dự ánHùng Sơn - Thanh Hóa,Trích trước chi phí phát triển bất động sản Dự ánHùng Sơn - Thanh Hóa,211.411.521.830,88.394.571.133,211411521830.0,88394571133.0
Chi phí lãi vay phải trả,Ngắn hạn > Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,40.789.669.996,98.330.120.532,40789669996.0,98330120532.0
Chi phí hỗ trợ lãi suất,Ngắn hạn > Chi phí hỗ trợ lãi suất,Chi phí hỗ trợ lãi suất,17.229.333.557,53.785.224.892,17229333557.0,53785224892.0
Trích trước chi phí phát triển bất động sản Dự ánThe Terra An Hưng,Ngắn hạn > Trích trước chi phí phát triển bất động sản Dự ánThe Terra An Hưng,Trích trước chi phí phát triển bất động sản Dự ánThe Terra An Hưng,14.301.096.458,111.532.000.434,14301096458.0,111532000434.0
Trích trước chi phí phát triển bất động sản Dự、án Khu đô thị mới Văn Phú,Ngắn hạn > Trích trước chi phí phát triển bất động sản Dự、án Khu đô thị mới Văn Phú,Trích trước chi phí phát triển bất động sản Dự、án Khu đô thị mới Văn Phú,-,99.950.641.403,,99950641403.0
Trích trước chi phí miễn phí quản lý cho khách hàng,Ngắn hạn > Trích trước chi phí miễn phí quản lý cho khách hàng,Trích trước chi phí miễn phí quản lý cho khách hàng,-,11.418.823.044,,11418823044.0
Chi phí trích trước khác,Ngắn hạn > Chi phí trích trước khác,Chi phí trích trước khác,29.733.896.850,17.241.914.827,29733896850.0,17241914827.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,313.465.518.691,480.653.296.265,313465518691.0,480653296265.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí lãi vay phải trả,Dài hạn > Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,239.337.678.679,58.881.535.500,239337678679.0,58881535500.0
Trích trước chi phí phát triển bất động sản Dựán Khu đô thị mới Văn Phú,Dài hạn > Trích trước chi phí phát triển bất động sản Dựán Khu đô thị mới Văn Phú,Trích trước chi phí phát triển bất động sản Dựán Khu đô thị mới Văn Phú,88.094.788.346,-,88094788346.0,
Trích trước chi phí miễn phí quản lý cho khách hàng,Dài hạn > Trích trước chi phí miễn phí quản lý cho khách hàng,Trích trước chi phí miễn phí quản lý cho khách hàng,10.646.175.225,6.765.741.300,10646175225.0,6765741300.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,338.078.642.250,65.647.276.800,338078642250.0,65647276800.0
