row_label_raw,row_label_full,Phải trả ngắn hạn khác (Thuyết minh số 21),Phải trả ngắn hạn khác (Thuyết minh số 21)_1,Phải trả ngắn hạn khác (Thuyết minh số 21)_2,Phải trả ngắn hạn khác (Thuyết minh số 21)_3,Phải trả ngắn hạn khác (Thuyết minh số 21)_4,numeric__Phải trả ngắn hạn khác (Thuyết minh số 21)_1,numeric__Phải trả ngắn hạn khác (Thuyết minh số 21)_2,numeric__Phải trả ngắn hạn khác (Thuyết minh số 21)_3,numeric__Phải trả ngắn hạn khác (Thuyết minh số 21)_4
Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty Cổ phần Đầu tư và Phát triển Thương mại Văn Phú,Công ty liên kết,Nhận góp vốn hợp tác đầu tư,8.462.300.021,8.462.300.021,,,8462300021.0,8462300021.0
Hội đồng Quản trị và Ban kiểm soát,Hội đồng Quản trị và Ban kiểm soát,Hội đồng Quản trị và Ban kiểm soát,,Phải trả thủ lao,234.000.000,216.000.000,,,234000000.0,216000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,8.696.300.021,8.678.300.021,,,8696300021.0,8678300021.0
Phải trả dài hạn khác (Thuyết minh số 21),Phải trả dài hạn khác (Thuyết minh số 21),Phải trả dài hạn khác (Thuyết minh số 21),Phải trả dài hạn khác (Thuyết minh số 21),Phải trả dài hạn khác (Thuyết minh số 21),Phải trả dài hạn khác (Thuyết minh số 21),Phải trả dài hạn khác (Thuyết minh số 21),,,,
Công ty Cổ phần Tập đoàn Phú Mỹ,Phải trả dài hạn khác (Thuyết minh số 21) > Công ty Cổ phần Tập đoàn Phú Mỹ,Công ty Cổ phần Tập đoàn Phú Mỹ,Cùng thành viên Hội đồng Quản trị,Nhận góp vốn hợp tác đầu tư,1.297.290.000,1.297.290.000,,,1297290000.0,1297290000.0
TỔNG CỘNG,Phải trả dài hạn khác (Thuyết minh số 21) > TỔNG CỘNG,TỔNG CỘNG,,,1.297.290.000,1.297.290.000,,,1297290000.0,1297290000.0
