row_label_raw,row_label_full,col_0,Số cuối năm (VND),Kỳ hạn trả góc và lãi,Lãi suất/năm,numeric__Số cuối năm (VND),numeric__Kỳ hạn trả góc và lãi,numeric__Lãi suất/năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,
Công ty Cổ phần Tư vấn Đầu tư Xây dựng Bắc Ái,Ngắn hạn > Công ty Cổ phần Tư vấn Đầu tư Xây dựng Bắc Ái,Công ty Cổ phần Tư vấn Đầu tư Xây dựng Bắc Ái,28.900.000.000,Gốc và lãi vay đáo hạn vào tháng 12 năm 2024.,"9,3%",28900000000.0,,0.09300000000000001
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,28.900.000.000,,,28900000000.0,,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,
Công ty Thương mại Đầu tư Xây dựng Thành Lợi – (TNHH),Dài hạn > Công ty Thương mại Đầu tư Xây dựng Thành Lợi – (TNHH),Công ty Thương mại Đầu tư Xây dựng Thành Lợi – (TNHH),550.000.000.000,Gốc và lãi vay đáo hạn vào tháng 7 năm 2025.,"8,5%",550000000000.0,,0.085
Các cá nhân,Dài hạn > Các cá nhân,Các cá nhân,33.950.000.000,Gốc và lãi vay đáo hạn vào tháng 12 năm 2025.,"10,5%",33950000000.0,,0.105
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,583.950.000.000,,,583950000000.0,,
