row_label_raw,row_label_full,Nhận góp vốn hợp tác đầu tư (iii),257.184.277.769,364.791.153.631,numeric__257.184.277.769,numeric__364.791.153.631
Nhận đặt cọc hợp tác đầu tư Dự án Khu đô thị mới Cồn Khương,Nhận đặt cọc hợp tác đầu tư Dự án Khu đô thị mới Cồn Khương,Nhận đặt cọc hợp tác đầu tư Dự án Khu đô thị mới Cồn Khương,-,384.000.000.000,,384000000000.0
"Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",5.343.364.921,10.015.960.550,5343364921.0,10015960550.0
Phải trả dài hạn khác cho bên liên quan(Thuyết minh số 32),Phải trả dài hạn khác cho bên liên quan(Thuyết minh số 32),Phải trả dài hạn khác cho bên liên quan(Thuyết minh số 32),1.297.290.000,1.297.290.000,1297290000.0,1297290000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,263.824.932.690,760.104.404.181,263824932690.0,760104404181.0
