row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bị vănphòng,Tài sản khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bị vănphòng,numeric__Tài sản khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,494.401.123.038,51.584.720.989,28.683.802.258,3.809.858.402,72.823.652.933,651.303.157.620,494401123038.0,51584720989.0,28683802258.0,3809858402.0,72823652933.0,651303157620.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,-,1.876.499.536,18.754.315,164.179.545,240.525.516,2.299.958.912,,1876499536.0,18754315.0,164179545.0,240525516.0,2299958912.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,494.401.123.038,53.461.220.525,28.702.556.573,3.974.037.947,73.064.178.449,653.603.116.532,494401123038.0,53461220525.0,28702556573.0,3974037947.0,73064178449.0,653603116532.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,-,-,6.964.023.636,3.410.583.451,465.585.465,10.840.192.552,,,6964023636.0,3410583451.0,465585465.0,10840192552.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,33.424.465.367,8.086.551.207,15.633.063.089,3.442.650.133,12.554.740.201,73.141.469.997,33424465367.0,8086551207.0,15633063089.0,3442650133.0,12554740201.0,73141469997.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,11.050.581.459,5.008.407.536,3.385.588.208,128.373.262,5.907.582.474,25.480.532.939,11050581459.0,5008407536.0,3385588208.0,128373262.0,5907582474.0,25480532939.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,44.475.046.826,13.094.958.743,19.018.651.297,3.571.023.395,18.462.322.675,98.622.002.936,44475046826.0,13094958743.0,19018651297.0,3571023395.0,18462322675.0,98622002936.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,460.976.657.671,43.498.169.782,13.050.739.169,367.208.269,60.268.912.732,578.161.687.623,460976657671.0,43498169782.0,13050739169.0,367208269.0,60268912732.0,578161687623.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,449.926.076.212,40.366.261.782,9.683.905.276,403.014.552,54.601.855.774,554.981.113.596,449926076212.0,40366261782.0,9683905276.0,403014552.0,54601855774.0,554981113596.0
