row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm > Giá gốc,Đơn vị tính: VND > Giá trị có thể thu hồi,Đơn vị tính: VND > Giá gốcGiá trị có thể thu hồi,numeric__Số cuối năm,numeric__Số cuối năm > Giá gốc,numeric__Đơn vị tính: VND > Giá trị có thể thu hồi,numeric__Đơn vị tính: VND > Giá gốcGiá trị có thể thu hồi
Ban Quản lý Đầu tư Xây dựng Công trình giao thông Hà Nội Công ty Cổ phần Kinh doanh Dịch vụ cao cấp,Ban Quản lý Đầu tư Xây dựng Công trình giao thông Hà Nội Công ty Cổ phần Kinh doanh Dịch vụ cao cấp,Ban Quản lý Đầu tư Xây dựng Công trình giao thông Hà Nội Công ty Cổ phần Kinh doanh Dịch vụ cao cấp,11.111.191.000,-,11.111.191.000,-,11111191000.0,,11111191000.0,
Dầu khí Việt Nam (PVR),Dầu khí Việt Nam (PVR),Dầu khí Việt Nam (PVR),10.000.000.000,-,10.000.000.000,-,10000000000.0,,10000000000.0,
Khách hàng tổ chức số 1,Khách hàng tổ chức số 1,Khách hàng tổ chức số 1,11.086.224.699,1.852.892.199,22.337.055.475,9.345.989.975,11086224699.0,1852892199.0,22337055475.0,9345989975.0
Khách hàng cá nhân số 1,Khách hàng cá nhân số 1,Khách hàng cá nhân số 1,10.505.856.427,2.430.856.427,10.505.856.427,2.430.856.427,10505856427.0,2430856427.0,10505856427.0,2430856427.0
Khoản tạm ứng cho nhân viên,Khoản tạm ứng cho nhân viên,Khoản tạm ứng cho nhân viên,11.678.815.880,1.083.450.000,10.891.790.880,2.959.141.470,11678815880.0,1083450000.0,10891790880.0,2959141470.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,20.816.353.034,5.648.982.582,18.136.251.757,7.637.109.249,20816353034.0,5648982582.0,18136251757.0,7637109249.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,75.198.441.040,11.016.181.208,82.982.145.539,22.373.097.121,75198441040.0,11016181208.0,82982145539.0,22373097121.0
