row_label_raw,row_label_full,col_0,"Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bị dụng cụquản lýVND,Tổng cộngVND,"numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bị dụng cụquản lýVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Ngày 1 tháng 1 năm 2019,Nguyên giá > Ngày 1 tháng 1 năm 2019,Ngày 1 tháng 1 năm 2019,59.012.919.045,5.514.706.999,4.443.305.211,68.970.931.255,59012919045.0,5514706999.0,4443305211.0,68970931255.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,22.892.628.560,2.587.300.000,536.987.000,26.016.915.560,22892628560.0,2587300000.0,536987000.0,26016915560.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(98.281.982),-,(38),(98.282.020),-98281982.0,,-38.0,-98282020.0
Ngày 31 tháng 12 năm 2019,Nguyên giá > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,81.807.265.623,8.102.006.999,4.980.292.173,94.889.564.795,81807265623.0,8102006999.0,4980292173.0,94889564795.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Ngày 1 tháng 1 năm 2019,Khấu hao lũy kế > Ngày 1 tháng 1 năm 2019,Ngày 1 tháng 1 năm 2019,48.378.575.680,3.137.242.589,2.637.715.568,54.153.533.837,48378575680.0,3137242589.0,2637715568.0,54153533837.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,5.887.295.080,960.083.770,451.840.210,7.299.219.060,5887295080.0,960083770.0,451840210.0,7299219060.0
Giảm trong năm,Khấu hao lũy kế > Giảm trong năm,Giảm trong năm,(98.281.982),-,(38),(98.282.020),-98281982.0,,-38.0,-98282020.0
Ngày 31 tháng 12 năm 2019,Khấu hao lũy kế > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,54.167.588.778,4.097.326.359,3.089.555.740,61.354.470.877,54167588778.0,4097326359.0,3089555740.0,61354470877.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Ngày 1 tháng 1 năm 2019,Giá trị còn lại > Ngày 1 tháng 1 năm 2019,Ngày 1 tháng 1 năm 2019,10.634.343.365,2.377.464.410,1.805.589.643,14.817.397.418,10634343365.0,2377464410.0,1805589643.0,14817397418.0
Ngày 31 tháng 12 năm 2019,Giá trị còn lại > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,27.639.676.845,4.004.680.640,1.890.736.433,33.535.093.918,27639676845.0,4004680640.0,1890736433.0,33535093918.0
