row_label_raw,row_label_full,Thuế giá trị gia tăng,Số phải trả đầu năm VND > 111.298.525,Số phải thu đầu năm VND > -,Số phải nộp trong năm VND > 5.100.124.784,Số đã nộp trong năm VND > 4.665.218.351,Số phải thu cuối năm VND > -,Số phải trả cuối năm VND > 546.204.958,numeric__Số phải trả đầu năm VND > 111.298.525,numeric__Số phải thu đầu năm VND > -,numeric__Số phải nộp trong năm VND > 5.100.124.784,numeric__Số đã nộp trong năm VND > 4.665.218.351,numeric__Số phải thu cuối năm VND > -,numeric__Số phải trả cuối năm VND > 546.204.958
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,820.081.531,-,48.273.514.295,40.589.726.458,-,8.503.869.368,820081531.0,,48273514295.0,40589726458.0,,8503869368.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,13.146.557.407,-,117.641.537.839,120.162.977.715,10.593.662,10.635.711.193,13146557407.0,,117641537839.0,120162977715.0,10593662.0,10635711193.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,286.951.943,-,2.192.966.502,2.358.464.852,-,121.453.593,286951943.0,,2192966502.0,2358464852.0,,121453593.0
Tổng công,Tổng công,Tổng công,14.364.889.406,-,173.208.143.420,167.776.387.376,10.593.662,19.807.239.112,14364889406.0,,173208143420.0,167776387376.0,10593662.0,19807239112.0
