row_label_raw,row_label_full,Mã số,CHỈ TIỀU,Thuyết minh,Năm 2019 VND,Năm 2018 VND,numeric__CHỈ TIỀU,numeric__Thuyết minh,numeric__Năm 2019 VND,numeric__Năm 2018 VND
,,,III. DOANH THU HOẠT ĐỘNG TẢI CHÍNH,,,,,,,
41,41,41,1. Chênh lệch lãi tỷ giá hối đoái đã và chưa thực hiện,,808.291,5.207.178,,,808291.0,5207178.0
42,42,42,"2. Doanh thu, dự thu cổ tức, lãi tiền gửi không cổ định",,4.694.306.916,4.221.789.086,,,4694306916.0,4221789086.0
50,50,50,Cộng doanh thu hoạt động tài chính,,4.695.115.207,4.226.996.264,,,4695115207.0,4226996264.0
,,,IV. CHI PHÍ TÀI CHÍNH,,,,,,,
52,52,52,"1. Chi phí lãi vay, lãi trái phiếu phát hành",35,174.478.690.303,183.423.790.642,,35.0,174478690303.0,183423790642.0
60,60,60,Cộng chi phí tài chính,,174.478.690.303,183.423.790.642,,,174478690303.0,183423790642.0
61,61,61,V. CHI PHÍ BÁN HÀNG,,7.427.938.961,6.943.438.428,,,7427938961.0,6943438428.0
62,62,62,VI. CHI PHÍ QUẢN LÝ CÔNG TY CHỨNG KHOÁN,36,92.317.914.501,102.913.981.670,,36.0,92317914501.0,102913981670.0
70,70,70,VII. KẾT QUẢ HOẠT ĐỘNG,,280.274.861.925,194.667.563.998,,,280274861925.0,194667563998.0
,,,VIII. THU NHẬP KHÁC VÀ CHI PHÍ KHÁC,,,,,,,
71,71,71,Thu nhập khác,37,8.603.570.496,8.070.862.615,,37.0,8603570496.0,8070862615.0
72,72,72,Chi phí khác,,300.168.605,6.733.680,,,300168605.0,6733680.0
80,80,80,Cộng kết quả hoạt động khác,,8.303.401.891,8.064.128.935,,,8303401891.0,8064128935.0
90,90,90,IX. TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ,,288.578.263.816,202.731.692.933,,,288578263816.0,202731692933.0
91,91,91,1. Lợi nhuận đã thực hiện,,266.838.134.828,219.408.760.229,,,266838134828.0,219408760229.0
92,92,92,2. Lợi nhuận/(lỗ) chưa thực hiện,,21.740.128.988,(16.677.067.296),,,21740128988.0,-16677067296.0
100,100,100,X. CHI PHÍ THUẾ THU NHẬP DOANH NGHIỆP (TNDN),38,58.775.804.130,25.379.465.501,,38.0,58775804130.0,25379465501.0
100.1,100.1,100.1,1. Chi phí thuế TNDN hiện hành,38.1,48.273.514.295,36.540.073.070,,381.0,48273514295.0,36540073070.0
100.2,100.2,100.2,2. Chi phí thuế TNDN hoãn lại,38.2,10.502.289.835,(11.160.607.569),,382.0,10502289835.0,-11160607569.0
200,200,200,XI. LỢI NHUẬN KẾ TOÁN SAU THUẾ TNDN,,229.802.459.686,177.352.227.432,,,229802459686.0,177352227432.0
300,300,300,XII. THU NHẬP TOÀN DIỆN KHÁC SAU THUẾ TNDN,,,,,,,
500,300 > 500,500,XIII. THU NHẬP THUÀN TRÊN CỔ PHIỂU PHỐ THÒNG,,1.882,1.284,,,1882.0,1284.0
501,300 > 501,501,Lãi cơ bản trên cổ phiếu,39,1.882,1.284,,39.0,1882.0,1284.0
