row_label_raw,row_label_full,Năm phát hành > 2016 > 2017 > 2018 > 2019,Lô > Lô 1 > Lô 2 > Lô 3 > Lô 1 > Lô 2 > Lô 3 > Lô 4 > Lô 5 > Lô 1 > Lô 2 > Lô 3 > Lô 4 > Lô 2 > Lô 3 > Lô 4,"Lãi suất năm > 8,675% > 8,75% > 8% - 8,2% > 8% > 8% - 8,31% > 8% > 8,5% > 8,51%",Năm đáo hạn > 2019 > 2020 > 2021 > 2020 > 2022,31/12/2019 VND > - > 1.000.000.000 > 28.000.000.000 > 7.000.000.000 > 5.000.000.000 > 2.000.000.000 > 7.000.000.000 > 9.000.000.000 > - > 200.000.000.000 > 151.000.000.000 > 219.000.000.000,31/12/2018 VND > 41.000.000.000 > 10.000.000.000 > 39.000.000.000 > 20.000.000.000 > 52.000.000.000 > 20.000.000.000 > 14.000.000.000 > 10.000.000.000 > 194.000.000.000 > 109.000.000.000 > 100.000.000.000 > 240.000.000.000 > -,numeric__Lô > Lô 1 > Lô 2 > Lô 3 > Lô 1 > Lô 2 > Lô 3 > Lô 4 > Lô 5 > Lô 1 > Lô 2 > Lô 3 > Lô 4 > Lô 2 > Lô 3 > Lô 4,"numeric__Lãi suất năm > 8,675% > 8,75% > 8% - 8,2% > 8% > 8% - 8,31% > 8% > 8,5% > 8,51%",numeric__Năm đáo hạn > 2019 > 2020 > 2021 > 2020 > 2022,numeric__31/12/2019 VND > - > 1.000.000.000 > 28.000.000.000 > 7.000.000.000 > 5.000.000.000 > 2.000.000.000 > 7.000.000.000 > 9.000.000.000 > - > 200.000.000.000 > 151.000.000.000 > 219.000.000.000,numeric__31/12/2018 VND > 41.000.000.000 > 10.000.000.000 > 39.000.000.000 > 20.000.000.000 > 52.000.000.000 > 20.000.000.000 > 14.000.000.000 > 10.000.000.000 > 194.000.000.000 > 109.000.000.000 > 100.000.000.000 > 240.000.000.000 > -
Chỉ phí phát hành,Chỉ phí phát hành,Chỉ phí phát hành,Chỉ phí phát hành,Chỉ phí phát hành,Chỉ phí phát hành,(2.129.328.134),(2.418.183.654),,,,-2129328134.0,-2418183654.0
Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn,Trái phiếu phát hành dài hạn,626.870.671.866,846.581.816.346,,,,626870671866.0,846581816346.0
