row_label_raw,row_label_full,Công ty CP ĐT TM Hoa Sen Việt Nam,31/12/2019VND > -,31/12/2018VND > 592.620,numeric__31/12/2019VND > -,numeric__31/12/2018VND > 592.620
Ngân hàng Thương mại Cổ phần Quản đội,Ngân hàng Thương mại Cổ phần Quản đội,Ngân hàng Thương mại Cổ phần Quản đội,10.953.000,10.953.000,10953000.0,10953000.0
Công ty CP du lịch Kim Liên,Công ty CP du lịch Kim Liên,Công ty CP du lịch Kim Liên,488.085,488.085,488085.0,488085.0
Phải trả tổ chức phát hành chứng khoán khác,Phải trả tổ chức phát hành chứng khoán khác,Phải trả tổ chức phát hành chứng khoán khác,511.977.279,2.099.871.279,511977279.0,2099871279.0
Tổng cộng,Tổng cộng,Tổng cộng,523.418.364,2.111.904.984,523418364.0,2111904984.0
