row_label_raw,row_label_full,CHỈ TIÊU,Số dư đầu năm > Ngày 1/1/2018 > VND,Số dư đầu năm > Ngày 1/1/2019 > VND,Số tăng/giảm trong năm > Năm trước > Tăng > VND,Số tăng/giảm trong năm > Năm trước > Giảm > VND,Số tăng/giảm trong năm > Năm nay > Tăng > VND,Số tăng/giảm trong năm > Năm nay > Giảm > VND,Số dư cuối năm > Ngày 31/12/2018 > VND,Số dư cuối năm > Ngày 31/12/2019 > VND,numeric__Số dư đầu năm > Ngày 1/1/2018 > VND,numeric__Số dư đầu năm > Ngày 1/1/2019 > VND,numeric__Số tăng/giảm trong năm > Năm trước > Tăng > VND,numeric__Số tăng/giảm trong năm > Năm trước > Giảm > VND,numeric__Số tăng/giảm trong năm > Năm nay > Tăng > VND,numeric__Số tăng/giảm trong năm > Năm nay > Giảm > VND,numeric__Số dư cuối năm > Ngày 31/12/2018 > VND,numeric__Số dư cuối năm > Ngày 31/12/2019 > VND
A,A,A,1,2,3,4,5,6,7,8,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU,,,,,,,,,,,,,,,,
1. Vốn đầu tư của chủ sở hữu,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,1.221.230.286.300,1.221.138.185.300,(92.101.000),-,(9.006.500),-,1.221.138.185.300,1.221.129.178.800,1221230286300.0,1221138185300.0,-92101000.0,,-9006500.0,,1221138185300.0,1221129178800.0
1.1.Cổ phiếu phổ thông,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 1.1.Cổ phiếu phổ thông,1.1.Cổ phiếu phổ thông,1.221.242.800.000,1.221.242.800.000,-,-,-,-,1.221.242.800.000,1.221.242.800.000,1221242800000.0,1221242800000.0,,,,,1221242800000.0,1221242800000.0
1.2 Cổ phiếu quỹ,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 1.2 Cổ phiếu quỹ,1.2 Cổ phiếu quỹ,(12.513.700),(104.614.700),(92.101.000),-,(9.006.500),-,(104.614.700),(113.621.200),-12513700.0,-104614700.0,-92101000.0,,-9006500.0,,-104614700.0,-113621200.0
3. Quỹ dự trữ bổ sung vốn điều lệ,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 3. Quỹ dự trữ bổ sung vốn điều lệ,3. Quỹ dự trữ bổ sung vốn điều lệ,6.194.502.054,15.062.113.426,8.867.611.372,-,11.490.122.984,-,15.062.113.426,26.552.236.410,6194502054.0,15062113426.0,8867611372.0,,11490122984.0,,15062113426.0,26552236410.0
4. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 4. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,4. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,6.184.517.954,15.052.129.326,8.867.611.372,-,11.490.122.984,-,15.052.129.326,26.542.252.310,6184517954.0,15052129326.0,8867611372.0,,11490122984.0,,15052129326.0,26542252310.0
5. Các Quỹ khác thuộc Vốn chủ sở hữu,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 5. Các Quỹ khác thuộc Vốn chủ sở hữu,5. Các Quỹ khác thuộc Vốn chủ sở hữu,832.692.247,1.628.982.305,796.290.058,-,-,3.000.000,1.628.982.305,1.625.982.305,832692247.0,1628982305.0,796290058.0,,,3000000.0,1628982305.0,1625982305.0
6. Lợi nhuận chưa phân phối,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > 6. Lợi nhuận chưa phân phối,6. Lợi nhuận chưa phân phối,50.130.545.890,207.590.887.214,177.352.227.432,19.891.886.108,229.807.666.863,43.411.987.156,207.590.887.214,393.986.566.921,50130545890.0,207590887214.0,177352227432.0,19891886108.0,229807666863.0,43411987156.0,207590887214.0,393986566921.0
a. Lợi nhuận đã thực hiện,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > a. Lợi nhuận đã thực hiện,a. Lợi nhuận đã thực hiện,65.665.196.255,228.641.997.306,182.868.687.159,19.891.886.108,218.569.827.711,43.407.821.414,228.641.997.306,403.804.003.603,65665196255.0,228641997306.0,182868687159.0,19891886108.0,218569827711.0,43407821414.0,228641997306.0,403804003603.0
b. Lợi nhuận chưa thực hiện,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > b. Lợi nhuận chưa thực hiện,b. Lợi nhuận chưa thực hiện,(15.534.650.365),(21.051.110.092),(5.516.459.727),-,11.237.839.152,4.165.742,(21.051.110.092),(9.817.436.682),-15534650365.0,-21051110092.0,-5516459727.0,,11237839152.0,4165742.0,-21051110092.0,-9817436682.0
TỔNG CỘNG,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮU > TỔNG CỘNG,TỔNG CỘNG,1.284.572.544.445,1.460.472.297.571,195.791.639.234,19.891.886.108,252.778.906.331,43.414.987.156,1.460.472.297.571,1.669.836.216.746,1284572544445.0,1460472297571.0,195791639234.0,19891886108.0,252778906331.0,43414987156.0,1460472297571.0,1669836216746.0
