row_label_raw,row_label_full,col_0,Quá hạnVND,Đến 01 nămVND,Từ 01 – 05 nămVND,Trên 05 nămVND,Tổng cộngVND,numeric__Quá hạnVND,numeric__Đến 01 nămVND,numeric__Từ 01 – 05 nămVND,numeric__Trên 05 nămVND,numeric__Tổng cộngVND
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,414.572.303.541,-,-,414.572.303.541,,414572303541.0,,,414572303541.0
Tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),TÀI SẢN TÀI CHÍNH > Tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),Tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),-,753.433.267.048,-,-,753.433.267.048,,753433267048.0,,,753433267048.0
Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),TÀI SẢN TÀI CHÍNH > Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),-,532.825.039.025,-,-,532.825.039.025,,532825039025.0,,,532825039025.0
Các khoản cho vay,TÀI SẢN TÀI CHÍNH > Các khoản cho vay,Các khoản cho vay,-,2.689.398.963.126,-,-,2.689.398.963.126,,2689398963126.0,,,2689398963126.0
Tài sản tài chính sẵn sàng để bán (AFS),TÀI SẢN TÀI CHÍNH > Tài sản tài chính sẵn sàng để bán (AFS),Tài sản tài chính sẵn sàng để bán (AFS),-,126.884.314.369,-,-,126.884.314.369,,126884314369.0,,,126884314369.0
Các khoản phải thu,TÀI SẢN TÀI CHÍNH > Các khoản phải thu,Các khoản phải thu,-,25.525.070.694,-,-,25.525.070.694,,25525070694.0,,,25525070694.0
Phải thu các dịch vụ CTCK cung cấp,TÀI SẢN TÀI CHÍNH > Phải thu các dịch vụ CTCK cung cấp,Phải thu các dịch vụ CTCK cung cấp,147.745.994.776,21.877.675.072,-,-,169.623.669.848,147745994776.0,21877675072.0,,,169623669848.0
Các khoản phải thu khác,TÀI SẢN TÀI CHÍNH > Các khoản phải thu khác,Các khoản phải thu khác,92.110.970.569,3.143.399.340,-,-,95.254.369.909,92110970569.0,3143399340.0,,,95254369909.0
Tài sản ngắn hạn khác,TÀI SẢN TÀI CHÍNH > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,-,22.016.614.751,-,-,22.016.614.751,,22016614751.0,,,22016614751.0
Tài sản cố định,TÀI SẢN TÀI CHÍNH > Tài sản cố định,Tài sản cố định,-,-,-,50.225.072.596,50.225.072.596,,,,50225072596.0,50225072596.0
Tiền nộp Quỹ Hồ trợ thanh toán,TÀI SẢN TÀI CHÍNH > Tiền nộp Quỹ Hồ trợ thanh toán,Tiền nộp Quỹ Hồ trợ thanh toán,-,-,-,12.956.433.957,12.956.433.957,,,,12956433957.0,12956433957.0
Tiền nộp Quỹ bù trừ,TÀI SẢN TÀI CHÍNH > Tiền nộp Quỹ bù trừ,Tiền nộp Quỹ bù trừ,-,-,-,10.069.607.035,10.069.607.035,,,,10069607035.0,10069607035.0
Các tài sản dài hạn,TÀI SẢN TÀI CHÍNH > Các tài sản dài hạn,Các tài sản dài hạn,-,-,78.504.433.127,-,78.504.433.127,,,78504433127.0,,78504433127.0
Tổng cộng,TÀI SẢN TÀI CHÍNH > Tổng cộng,Tổng cộng,239.856.965.345,4.589.676.646.966,78.504.433.127,73.251.113.588,4.981.289.159.026,239856965345.0,4589676646966.0,78504433127.0,73251113588.0,4981289159026.0
NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,,,,,
Vay ngắn hạn,NỘ TÀI CHÍNH > Vay ngắn hạn,Vay ngắn hạn,-,829.615.050.000,-,-,829.615.050.000,,829615050000.0,,,829615050000.0
Phải trả hoạt động kinh doanh chứng khoản,NỘ TÀI CHÍNH > Phải trả hoạt động kinh doanh chứng khoản,Phải trả hoạt động kinh doanh chứng khoản,-,13.095.044.834,-,-,13.095.044.834,,13095044834.0,,,13095044834.0
Phải trả người bản ngắn hạn,NỘ TÀI CHÍNH > Phải trả người bản ngắn hạn,Phải trả người bản ngắn hạn,-,12.249.632.308,-,-,12.249.632.308,,12249632308.0,,,12249632308.0
Người mua trả tiền trước ngắn hạn,NỘ TÀI CHÍNH > Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,-,2.303.002.000,-,-,2.303.002.000,,2303002000.0,,,2303002000.0
Thuế và các khoản phải nộp Nhà nước,NỘ TÀI CHÍNH > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,-,19.807.239.112,-,-,19.807.239.112,,19807239112.0,,,19807239112.0
Chi phí phải trả ngắn hạn,NỘ TÀI CHÍNH > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,-,51.161.576.580,-,-,51.161.576.580,,51161576580.0,,,51161576580.0
