row_label_raw,row_label_full,Các loại tài sảntài chính,31/12/2019 > Giá muaVND,31/12/2019 > Chênh lệch đánh giá > Chênh lệchtăngVND,31/12/2019 > Chênh lệch đánh giá > Chênh lệch giảmVND,31/12/2019 > Giá trị đánh giá lạiVND,numeric__31/12/2019 > Giá muaVND,numeric__31/12/2019 > Chênh lệch đánh giá > Chênh lệchtăngVND,numeric__31/12/2019 > Chênh lệch đánh giá > Chênh lệch giảmVND,numeric__31/12/2019 > Giá trị đánh giá lạiVND
FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,,,,
Cổ phiếu niêmyết,FVTPL > Cổ phiếu niêmyết,Cổ phiếu niêmyết,84.511.781.845,1.003.606.588,(14.476.887.689),71.038.500.744,84511781845.0,1003606588.0,-14476887689.0,71038500744.0
Trái phiếuniêm yết,FVTPL > Trái phiếuniêm yết,Trái phiếuniêm yết,104.409.000.000,-,-,104.409.000.000,104409000000.0,,,104409000000.0
Trái phiếuchưa niêm yết,FVTPL > Trái phiếuchưa niêm yết,Trái phiếuchưa niêm yết,577.985.766.304,-,-,577.985.766.304,577985766304.0,,,577985766304.0
AFS,AFS,AFS,AFS,AFS,AFS,AFS,,,,
Cổ phiếuchưa niêm yết,AFS > Cổ phiếuchưa niêm yết,Cổ phiếuchưa niêm yết,123.884.314.369,-,(64.925.729.445),58.958.584.924,123884314369.0,,-64925729445.0,58958584924.0
Đầu tư khác,AFS > Đầu tư khác,Đầu tư khác,3.000.000.000,,(3.000.000.000),-,3000000000.0,,-3000000000.0,
Tổng cộng,AFS > Tổng cộng,Tổng cộng,893.790.862.518,1.003.606.588,(82.402.617.134),812.391.851.972,893790862518.0,1003606588.0,-82402617134.0,812391851972.0
