row_label_raw,row_label_full,Danh mục các loại tài sản tài chính,Giá trị mua theo số kế toán VND,Giá trị hợp lý VND,Số dư chênh lệch đánh giá lại cuối năm VND,Số dư chênh lệch đánh giá lại đầu năm VND,Chênh lệch thuần điều chỉnh số kế toán trong năm VND,Chênh lệch tăng VND,Chênh lệch giảm VND,numeric__Giá trị mua theo số kế toán VND,numeric__Giá trị hợp lý VND,numeric__Số dư chênh lệch đánh giá lại cuối năm VND,numeric__Số dư chênh lệch đánh giá lại đầu năm VND,numeric__Chênh lệch thuần điều chỉnh số kế toán trong năm VND,numeric__Chênh lệch tăng VND,numeric__Chênh lệch giảm VND
FPT,FPT,FPT,2.070.022.800,2.133.780.000,63.757.200,-,63.757.200,63.757.200,-,2070022800.0,2133780000.0,63757200.0,,63757200.0,63757200.0,
GMD,GMD,GMD,2.610.859.243,2.251.712.000,(359.147.243),-,(359.147.243),-,(359.147.243),2610859243.0,2251712000.0,-359147243.0,,-359147243.0,,-359147243.0
HPG,HPG,HPG,7.816.501.558,8.154.500.000,337.998.442,-,337.998.442,337.998.442,-,7816501558.0,8154500000.0,337998442.0,,337998442.0,337998442.0,
MSN,MSN,MSN,966.750.000,960.500.000,(6.250.000),-,(6.250.000),-,(6.250.000),966750000.0,960500000.0,-6250000.0,,-6250000.0,,-6250000.0
PNJ,PNJ,PNJ,13.992.526.606,14.487.560.000,495.033.394,-,495.033.394,495.033.394,-,13992526606.0,14487560000.0,495033394.0,,495033394.0,495033394.0,
REE,REE,REE,3.152.018.500,3.133.053.000,(18.965.500),-,(18.965.500),-,(18.965.500),3152018500.0,3133053000.0,-18965500.0,,-18965500.0,,-18965500.0
TCB,TCB,TCB,6.437.007.063,6.291.382.500,(145.624.563),-,(145.624.563),-,(145.624.563),6437007063.0,6291382500.0,-145624563.0,,-145624563.0,,-145624563.0
VHM,VHM,VHM,1.723.722.000,1.696.000.000,(27.722.000),-,(27.722.000),-,(27.722.000),1723722000.0,1696000000.0,-27722000.0,,-27722000.0,,-27722000.0
VNM,VNM,VNM,8.357.036.020,7.409.400.000,(947.636.020),-,(947.636.020),-,(947.636.020),8357036020.0,7409400000.0,-947636020.0,,-947636020.0,,-947636020.0
VRE,VRE,VRE,234.734.500,238.000.000,3.265.500,-,3.265.500,3.265.500,-,234734500.0,238000000.0,3265500.0,,3265500.0,3265500.0,
