row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Cổ phiếu quỹ VND,Quỹ dự trữ bổ sung vốn điều lệ VND,Quỹ dự phòng tài chính và rủi ro nghiệp vụ VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ dự trữ bổ sung vốn điều lệ VND,numeric__Quỹ dự phòng tài chính và rủi ro nghiệp vụ VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,1.221.242.800.000,(12.513.700),6.194.502.054,6.184.517.954,832.692.247,50.130.545.890,1.284.572.544.445,1221242800000.0,-12513700.0,6194502054.0,6184517954.0,832692247.0,50130545890.0,1284572544445.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,-,-,-,-,-,177.352.227.432,177.352.227.432,,,,,,177352227432.0,177352227432.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,(92.101.000),-,-,-,-,(92.101.000),,-92101000.0,,,,,-92101000.0
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,-,-,8.867.611.372,8.867.611.372,718.887.788,(19.891.886.108),(1.437.775.576),,,8867611372.0,8867611372.0,718887788.0,-19891886108.0,-1437775576.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,77.402.270,-,77.402.270,,,,,77402270.0,,77402270.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,1.221.242.800.000,(104.614.700),15.062.113.426,15.052.129.326,1.628.982.305,207.590.887.214,1.460.472.297.571,1221242800000.0,-104614700.0,15062113426.0,15052129326.0,1628982305.0,207590887214.0,1460472297571.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,-,-,-,-,-,229.802.459.686,229.802.459.686,,,,,,229802459686.0,229802459686.0
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,-,-,11.490.122.984,11.490.122.984,-,(22.980.245.968),-,,,11490122984.0,11490122984.0,,-22980245968.0,
Sử dụng quỹ trong kỳ,Sử dụng quỹ trong kỳ,Sử dụng quỹ trong kỳ,-,-,-,-,(3.000.000),-,(3.000.000),,,,,-3000000.0,,-3000000.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,(9.006.500),-,-,-,-,(9.006.500),,-9006500.0,,,,,-9006500.0
Thường nhân viên,Thường nhân viên,Thường nhân viên,-,-,-,-,-,(9.870.445.486),(9.870.445.486),,,,,,-9870445486.0,-9870445486.0
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,,,,,,(10.641.133.646),(10.641.133.646),,,,,,-10641133646.0,-10641133646.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,-,85.045.121,85.045.121,,,,,,85045121.0,85045121.0
Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,1.221.242.800.000,(113.621.200),26.552.236.410,26.542.252.310,1.625.982.305,393.986.566.921,1.669.836.216.746,1221242800000.0,-113621200.0,26552236410.0,26542252310.0,1625982305.0,393986566921.0,1669836216746.0
