row_label_raw,row_label_full,col_0,Môi giới và dịch vụ khách hàng VND,Tự doanh VND,Ngân hàng đầu tư VND,Hoạt động khác VND,Tổng cộng VND,numeric__Môi giới và dịch vụ khách hàng VND,numeric__Tự doanh VND,numeric__Ngân hàng đầu tư VND,numeric__Hoạt động khác VND,numeric__Tổng cộng VND
Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,,,,,
1. Doanh thu hoạt động,Ngày 31 tháng 12 năm 2019 > 1. Doanh thu hoạt động,1. Doanh thu hoạt động,581.370.625.388,166.443.546.420,122.385.155.214,86.866.948.607,957.066.275.629,581370625388.0,166443546420.0,122385155214.0,86866948607.0,957066275629.0
2. Các chi phí trực tiếp,Ngày 31 tháng 12 năm 2019 > 2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,(294.338.256.100),(55.661.928.446),(59.755.638.945),7.938.310.852,(401.817.512.639),-294338256100.0,-55661928446.0,-59755638945.0,7938310852.0,-401817512639.0
3. Khấu hao và các chi phí phân bổ,Ngày 31 tháng 12 năm 2019 > 3. Khấu hao và các chi phí phân bổ,3. Khấu hao và các chi phí phân bổ,(161.989.194.297),(46.376.708.425),(34.100.575.126),(24.204.021.327),(266.670.499.175),-161989194297.0,-46376708425.0,-34100575126.0,-24204021327.0,-266670499175.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Ngày 31 tháng 12 năm 2019 > Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,125.043.174.991,64.404.909.549,28.528.941.143,70.601.238.132,288.578.263.815,125043174991.0,64404909549.0,28528941143.0,70601238132.0,288578263815.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,,,,,
1. Tài sản bộ phận (*),Số dư cuối năm > 1. Tài sản bộ phận (*),1. Tài sản bộ phận (*),2.954.304.590.383,1.517.513.050.306,-,17.807.134.791,4.489.624.775.480,2954304590383.0,1517513050306.0,,17807134791.0,4489624775480.0
2. Tài sản phân bổ (*),Số dư cuối năm > 2. Tài sản phân bổ (*),2. Tài sản phân bổ (*),345.283.742.679,98.853.034.782,"72.686.170.568,88",51.591.435.515,568.414.383.545,345283742679.0,98853034782.0,72686170568.88,51591435515.0,568414383545.0
Tổng tài sản,Số dư cuối năm > Tổng tài sản,Tổng tài sản,3.299.588.333.062,1.616.366.085.088,72.686.170.569,69.398.570.306,5.058.039.159.025,3299588333062.0,1616366085088.0,72686170569.0,69398570306.0,5058039159025.0
3. Nợ phải trả bộ phận,Số dư cuối năm > 3. Nợ phải trả bộ phận,3. Nợ phải trả bộ phận,10.180.436.119,17.467.243.023,-,-,27.647.679.142,10180436119.0,17467243023.0,,,27647679142.0
4. Nợ phân bổ,Số dư cuối năm > 4. Nợ phân bổ,4. Nợ phân bổ,1.854.408.981.302,530.908.157.176,390.374.265.737,277.081.164.133,3.052.772.568.348,1854408981302.0,530908157176.0,390374265737.0,277081164133.0,3052772568348.0
Tổng công nợ,Số dư cuối năm > Tổng công nợ,Tổng công nợ,1.864.589.417.421,548.375.400.199,390.374.265.737,277.081.164.133,3.080.420.247.490,1864589417421.0,548375400199.0,390374265737.0,277081164133.0,3080420247490.0
