row_label_raw,row_label_full,col_0,31/12/2019 > Giá gốc VND,31/12/2019 > Giá trị hợp lý VND,31/12/2018 > Giá gốc VND,31/12/2018 > Giá trị hợp lý VND,numeric__31/12/2019 > Giá gốc VND,numeric__31/12/2019 > Giá trị hợp lý VND,numeric__31/12/2018 > Giá gốc VND,numeric__31/12/2018 > Giá trị hợp lý VND
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,84.511.781.845,71.038.500.744,130.768.091.721,98.551.166.882,84511781845.0,71038500744.0,130768091721.0,98551166882.0
BRS,BRS,BRS,21.850.318.907,16.581.220.000,-,-,21850318907.0,16581220000.0,,
DVP,DVP,DVP,-,-,9.569.294.972,5.872.440.000,,,9569294972.0,5872440000.0
SD3,SD3,SD3,9.157.541.200,2.659.190.400,9.157.541.200,3.434.787.600,9157541200.0,2659190400.0,9157541200.0,3434787600.0
ILB,ILB,ILB,3.399.143.147,3.172.528.800,-,-,3399143147.0,3172528800.0,,
PSP,PSP,PSP,-,-,10.762.981.891,5.820.010.000,,,10762981891.0,5820010000.0
HPG,HPG,HPG,7.836.073.551,8.174.992.000,18.369.914.011,14.899.546.650,7836073551.0,8174992000.0,18369914011.0,14899546650.0
PNJ,PNJ,PNJ,14.018.684.206,14.517.746.000,964.382,932.000,14018684206.0,14517746000.0,964382.0,932000.0
VNM,VNM,VNM,8.411.042.116,7.458.213.500,26.230.696,24.000.000,8411042116.0,7458213500.0,26230696.0,24000000.0
TCB,TCB,TCB,6.437.007.063,6.291.382.500,28.695.698.000,25.850.000.000,6437007063.0,6291382500.0,28695698000.0,25850000000.0
REE,REE,REE,3.155.197.493,3.136.392.600,1.839.493,1.540.000,3155197493.0,3136392600.0,1839493.0,1540000.0
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,10.246.774.162,9.046.834.944,54.183.627.076,42.647.910.632,10246774162.0,9046834944.0,54183627076.0,42647910632.0
Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,577.985.766.304,577.985.766.304,227.884.166.268,227.884.166.268,577985766304.0,577985766304.0,227884166268.0,227884166268.0
Trái phiếu niêm yết,Trái phiếu niêm yết,Trái phiếu niêm yết,104.409.000.000,104.409.000.000,-,-,104409000000.0,104409000000.0,,
Tổng cộng,Tổng cộng,Tổng cộng,766.906.548.149,753.433.267.048,358.652.257.989,326.435.333.150,766906548149.0,753433267048.0,358652257989.0,326435333150.0
