row_label_raw,row_label_full,col_0,31/12/2019 > Số lượng,31/12/2019 > Giá gốcVND,31/12/2019 > Giá trị ghi sốVND,31/12/2019 > Giá trị dự phòngVND,31/12/2018 > Giá trị dự phòngVND,(Trích lập)/Hoànnhập trong nămVND,numeric__31/12/2019 > Số lượng,numeric__31/12/2019 > Giá gốcVND,numeric__31/12/2019 > Giá trị ghi sốVND,numeric__31/12/2019 > Giá trị dự phòngVND,numeric__31/12/2018 > Giá trị dự phòngVND,numeric__(Trích lập)/Hoànnhập trong nămVND
Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,,,,,,
CTCP Cảng Tân CảngHiệp Phước,Tài sản tài chính AFS > CTCP Cảng Tân CảngHiệp Phước,CTCP Cảng Tân CảngHiệp Phước,1.710.000,46.768.500.000,22.230.000.000,(24.538.500.000),(24.538.500.000),-,1710000.0,46768500000.0,22230000000.0,-24538500000.0,-24538500000.0,
CTCP Chế biến Thủysản Út Xi,Tài sản tài chính AFS > CTCP Chế biến Thủysản Út Xi,CTCP Chế biến Thủysản Út Xi,894.705,26.214.856.500,7.157.640.000,(19.057.216.500),(19.057.216.500),-,894705.0,26214856500.0,7157640000.0,-19057216500.0,-19057216500.0,
CTCP Đầu tư Tài chínhThăng Long,Tài sản tài chính AFS > CTCP Đầu tư Tài chínhThăng Long,CTCP Đầu tư Tài chínhThăng Long,1.000.000,11.640.000.000,4.000.000.000,(7.640.000.000),(7.640.000.000),-,1000000.0,11640000000.0,4000000000.0,-7640000000.0,-7640000000.0,
CTCP Giao nhận khovận ngoại thương HP,Tài sản tài chính AFS > CTCP Giao nhận khovận ngoại thương HP,CTCP Giao nhận khovận ngoại thương HP,50.000,1.880.000.000,650.000.000,(1.230.000.000),(1.230.000.000),-,50000.0,1880000000.0,650000000.0,-1230000000.0,-1230000000.0,
CTCP công nghiệp caosu COECCO,Tài sản tài chính AFS > CTCP công nghiệp caosu COECCO,CTCP công nghiệp caosu COECCO,492.000,7.380.000.000,4.920.000.000,(2.460.000.000),(2.460.000.000),-,492000.0,7380000000.0,4920000000.0,-2460000000.0,-2460000000.0,
Công ty cổ phần ICD,Công ty cổ phần ICD,Công ty cổ phần ICD,Công ty cổ phần ICD,Công ty cổ phần ICD,Công ty cổ phần ICD,Công ty cổ phần ICD,Công ty cổ phần ICD,Công ty cổ phần ICD,,,,,,
Tân Cảng Long Bình (*),Công ty cổ phần ICD > Tân Cảng Long Bình (*),Tân Cảng Long Bình (*),-,-,-,-,(3.000.000.000),3.000.000.000,,,,,-3000000000.0,3000000000.0
CTCP thời trang NEM,Công ty cổ phần ICD > CTCP thời trang NEM,CTCP thời trang NEM,-,-,-,-,(50.409.149.899),50.409.149.899,,,,,-50409149899.0,50409149899.0
Cổ phiếu chưa niêm yếtkhác,Công ty cổ phần ICD > Cổ phiếu chưa niêm yếtkhác,Cổ phiếu chưa niêm yếtkhác,2.800.078,33.000.957.869,20.000.944.924,(13.000.012.945),(13.000.012.945),-,2800078.0,33000957869.0,20000944924.0,-13000012945.0,-13000012945.0,
Tổng cộng,Công ty cổ phần ICD > Tổng cộng,Tổng cộng,6.946.783,126.884.314.369,58.958.584.924,(67.925.729.445),(121.334.879.344),53.409.149.899,6946783.0,126884314369.0,58958584924.0,-67925729445.0,-121334879344.0,53409149899.0
