row_label_raw,row_label_full,Danh mục các loại tài sản tài chính,Giá trị mua theo số kế toán VND,Giá trị hợp lý VND,Số dư chênh lệch đánh giá lại cuối năm VND,Số dư chênh lệch đánh giá lại đầu năm VND,Chênh lệch thuần điều chỉnh số kế toán trong năm VND,Chênh lệch tăng VND,Chênh lệch giảm VND,numeric__Giá trị mua theo số kế toán VND,numeric__Giá trị hợp lý VND,numeric__Số dư chênh lệch đánh giá lại cuối năm VND,numeric__Số dư chênh lệch đánh giá lại đầu năm VND,numeric__Chênh lệch thuần điều chỉnh số kế toán trong năm VND,numeric__Chênh lệch tăng VND,numeric__Chênh lệch giảm VND
FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,,,,,,,
Cổ phiếu niêm yết,FVTPL > Cổ phiếu niêm yết,Cổ phiếu niêm yết,84.511.781.845,71.038.500.744,(13.473.281.101),(32.216.924.839),18.743.643.738,867.296.475,17.876.347.263,84511781845.0,71038500744.0,-13473281101.0,-32216924839.0,18743643738.0,867296475.0,17876347263.0
BSR,FVTPL > BSR,BSR,21.850.318.907,16.581.220.000,(5.269.098.907),-,(5.269.098.907),-,(5.269.098.907),21850318907.0,16581220000.0,-5269098907.0,,-5269098907.0,,-5269098907.0
DVP,FVTPL > DVP,DVP,-,-,-,(3.696.854.972),3.696.854.972,-,3.696.854.972,,,,-3696854972.0,3696854972.0,,3696854972.0
SD3,FVTPL > SD3,SD3,9.157.541.200,2.659.190.400,(6.498.350.800),(5.722.753.600),(775.597.200),-,(775.597.200),9157541200.0,2659190400.0,-6498350800.0,-5722753600.0,-775597200.0,,-775597200.0
ILB,FVTPL > ILB,ILB,3.399.143.147,3.172.528.800,(226.614.347),-,(226.614.347),-,(226.614.347),3399143147.0,3172528800.0,-226614347.0,,-226614347.0,,-226614347.0
PSP,FVTPL > PSP,PSP,-,-,-,(4.942.971.891),4.942.971.891,-,4.942.971.891,,,,-4942971891.0,4942971891.0,,4942971891.0
HPG,FVTPL > HPG,HPG,7.836.073.551,8.174.992.000,338.918.449,(3.470.367.361),3.809.285.810,338.918.449,3.470.367.361,7836073551.0,8174992000.0,338918449.0,-3470367361.0,3809285810.0,338918449.0,3470367361.0
PNJ,FVTPL > PNJ,PNJ,14.018.684.206,14.517.746.000,499.061.794,(32.382),499.094.176,499.061.794,32.382,14018684206.0,14517746000.0,499061794.0,-32382.0,499094176.0,499061794.0,32382.0
VNM,FVTPL > VNM,VNM,8.411.042.116,7.458.213.500,(952.828.616),(2.230.696),(950.597.920),-,(950.597.920),8411042116.0,7458213500.0,-952828616.0,-2230696.0,-950597920.0,,-950597920.0
TCB,FVTPL > TCB,TCB,6.437.007.063,6.291.382.500,(145.624.563),(2.845.698.000),2.700.073.437,-,2.700.073.437,6437007063.0,6291382500.0,-145624563.0,-2845698000.0,2700073437.0,,2700073437.0
REE,FVTPL > REE,REE,3.155.197.493,3.136.392.600,(18.804.893),(299.493),(18.505.400),-,(18.505.400),3155197493.0,3136392600.0,-18804893.0,-299493.0,-18505400.0,,-18505400.0
Cổ phiếu niêm yết khác,FVTPL > Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,10.246.774.162,9.046.834.944,(1.199.939.218),(11.535.716.444),10.335.777.226,29.316.232,10.306.460.994,10246774162.0,9046834944.0,-1199939218.0,-11535716444.0,10335777226.0,29316232.0,10306460994.0
Tổng cộng,FVTPL > Tổng cộng,Tổng cộng,84.511.781.845,71.038.500.744,(13.473.281.101),(32.216.924.839),18.743.643.738,867.296.475,17.876.347.263,84511781845.0,71038500744.0,-13473281101.0,-32216924839.0,18743643738.0,867296475.0,17876347263.0
