row_label_raw,row_label_full,Cổ phiếu,Cổ phiếu_1,Cổ phiếu_2,numeric__Cổ phiếu_1,numeric__Cổ phiếu_2
,,,31/12/2019,Don vị: cổ phiếu31/12/2018,,
Số lượng cổ phiếu được phép phát hành,Số lượng cổ phiếu được phép phát hành,Số lượng cổ phiếu được phép phát hành,122.124.280,122.124.280,122124280.0,122124280.0
Số lượng cổ phiếu đã phát hành,Số lượng cổ phiếu đã phát hành,Số lượng cổ phiếu đã phát hành,122.124.280,122.124.280,122124280.0,122124280.0
Số lượng cổ phiếu đã phát hành và được gópvốn đầy đủ,Số lượng cổ phiếu đã phát hành và được gópvốn đầy đủ,Số lượng cổ phiếu đã phát hành và được gópvốn đầy đủ,122.124.280,122.124.280,122124280.0,122124280.0
- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,122.124.280,122.124.280,122124280.0,122124280.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Số lượng cổ phiếu quỹ,- Cổ phiếu ưu đãi > Số lượng cổ phiếu quỹ,Số lượng cổ phiếu quỹ,(8.048),(7.387),-8048.0,-7387.0
Cổ phiếu quỹ do Công ty nằm giữ,- Cổ phiếu ưu đãi > Cổ phiếu quỹ do Công ty nằm giữ,Cổ phiếu quỹ do Công ty nằm giữ,(8.048),(7.387),-8048.0,-7387.0
- Cổ phiếu phổ thông,- Cổ phiếu ưu đãi > - Cổ phiếu phổ thông,- Cổ phiếu phổ thông,(8.048),(7.387),-8048.0,-7387.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Số lượng cổ phiếu đang lưu hành,- Cổ phiếu ưu đãi > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,122.116.232,122.116.893,122116232.0,122116893.0
- Cổ phiếu phổ thông,- Cổ phiếu ưu đãi > - Cổ phiếu phổ thông,- Cổ phiếu phổ thông,122.116.232,122.116.893,122116232.0,122116893.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
