row_label_raw,row_label_full,col_0,Nội dung nghiệp vụ,Năm 2019Thu nhập/(Chi phí)VND,Năm 2018Thu nhập/(Chi phí)VND,numeric__Nội dung nghiệp vụ,numeric__Năm 2019Thu nhập/(Chi phí)VND,numeric__Năm 2018Thu nhập/(Chi phí)VND
Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Thu lãi tiền gửi không kỳ hạn và có kỳ hạn,12.366.968.307,948.253.682,,12366968307.0,948253682.0
Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Doanh thu phí quản lý cổ đông,600.000.000,600.000.000,,600000000.0,600000000.0
Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Doanh thu phí hợp tác cho vay thanh toán tiền mua chứng khoán,34.628.318.190,36.668.654.292,,34628318190.0,36668654292.0
Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Doanh thu tư vấn phát hành trái phiếu,-,100.000.000,,,100000000.0
Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Doanh thu chuyển nhượng trái phiếu,-,173.000.000,,,173000000.0
Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Chi phí thuê văn phòng,-,(780.382.663),,,-780382663.0
Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Chi phí môi giới MBS Bond,(14.460.000.000),(11.743.000.000),,-14460000000.0,-11743000000.0
Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Chi phí quảng cáo,(792.000.000),-,,-792000000.0,
Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Phí giao dịch chứng khoán,1.552.739.161,-,,1552739161.0,
Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Ngân hàng TMCPQuân đội,Thu nhập quảng cáo,909.090.909,-,,909090909.0,
Công ty TNHHQuản lý nợ và khai thác tải sản Ngân hàng TMCP Quân đội,Công ty TNHHQuản lý nợ và khai thác tải sản Ngân hàng TMCP Quân đội,Công ty TNHHQuản lý nợ và khai thác tải sản Ngân hàng TMCP Quân đội,Chi phí tiền điện và thuê văn phòng,(14.822.613.013),(8.954.568.143),,-14822613013.0,-8954568143.0
Công ty TNHHQuản lý nợ và khai thác tải sản Ngân hàng TMCP Quân đội,Công ty TNHHQuản lý nợ và khai thác tải sản Ngân hàng TMCP Quân đội,Công ty TNHHQuản lý nợ và khai thác tải sản Ngân hàng TMCP Quân đội,Doanh thu tư vấn tài chính,80.000.000,-,,80000000.0,
Công ty TNHH Bảo hiểm nhân thọ MB Ageas,Công ty TNHH Bảo hiểm nhân thọ MB Ageas,Công ty TNHH Bảo hiểm nhân thọ MB Ageas,Doanh thu cho thuê văn phòng,4.040.829.708,4.040.829.708,,4040829708.0,4040829708.0
Công ty TNHH Bảo hiểm nhân thọ MB Ageas,Công ty TNHH Bảo hiểm nhân thọ MB Ageas,Công ty TNHH Bảo hiểm nhân thọ MB Ageas,Thu nhập khác,6.909.091,-,,6909091.0,
Tổng Công ty cổ phần Bảo hiểmQuân đội,Tổng Công ty cổ phần Bảo hiểmQuân đội,Tổng Công ty cổ phần Bảo hiểmQuân đội,Doanh thu phí tư vấn,100.000.000,-,,100000000.0,
Tổng Công ty cổ phần Bảo hiểmQuân đội,Tổng Công ty cổ phần Bảo hiểmQuân đội,Tổng Công ty cổ phần Bảo hiểmQuân đội,Chi phí bảo hiểm,(1.574.224.938),(1.585.161.444),,-1574224938.0,-1585161444.0
Công ty Tài chínhTNHH MB SHINSEI,Công ty Tài chínhTNHH MB SHINSEI,Công ty Tài chínhTNHH MB SHINSEI,Thu lãi tiền gửi,90.410.959,1.068.493,,90410959.0,1068493.0
Công ty Cổ phầnQuản lý Quỹ đầu tư MB,Công ty Cổ phầnQuản lý Quỹ đầu tư MB,Công ty Cổ phầnQuản lý Quỹ đầu tư MB,Doanh thu phí dịch vụ lưu ký chứng khoán,119.829.352,323.575.857,,119829352.0,323575857.0
Công ty Cổ phầnQuản lý Quỹ đầu tư MB,Công ty Cổ phầnQuản lý Quỹ đầu tư MB,Công ty Cổ phầnQuản lý Quỹ đầu tư MB,Doanh thu khác,38.181.818,-,,38181818.0,
Công ty Cổ phầnQuản lý Quỹ đầu tư MB,Công ty Cổ phầnQuản lý Quỹ đầu tư MB,Công ty Cổ phầnQuản lý Quỹ đầu tư MB,Phí tư vấn đầu tư chứng khoán,(48.000.000),-,,-48000000.0,
"Hội đồng Quản trị,Ban Tổng Giám đốc và Ban Kiểm soát","Hội đồng Quản trị,Ban Tổng Giám đốc và Ban Kiểm soát","Hội đồng Quản trị,Ban Tổng Giám đốc và Ban Kiểm soát","Tiền lương, thường và thủ lao",(18.138.506.494),(21.809.505.897),,-18138506494.0,-21809505897.0
