row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,31/12/2019 VND,31/12/2018 VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__31/12/2019 VND,numeric__31/12/2018 VND
,,,B. TÀI SẢN VÀ CÁC KHOẢN PHẢI TRẢ VỀ TÀI SẢN QUẢN LÝ CAM KẾT VỚI KHÁCH HÀNG (tiếp theo),,,,,,,
026,026,026,Tiền gửi của khách hàng,,869.485.669.089,1.518.756.848.324,,,869485669089.0,1518756848324.0
027,027,027,Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức CTCK quản lý,28.10,858.050.647.695,1.514.979.124.473,,2810.0,858050647695.0,1514979124473.0
027.1,027.1,027.1,Trong đó: Tiền gửi ký quỹ của Nhà đầu tư tại VSD,,147.403.731.094,360.158.207.507,,,147403731094.0,360158207507.0
028,028,028,Tiền gửi tổng hợp giao dịch chứng khoán của khách hàng,28.10,2.214.488.747,1.560.058.864,,2810.0,2214488747.0,1560058864.0
030,030,030,Tiền gửi của Tổ chức phát hành chứng khoán,28.11,9.220.532.647,2.217.664.987,,2811.0,9220532647.0,2217664987.0
031,031,031,Phải trả Nhà đầu tư về tiền gửi giao dịch chứng khoán theo phương thức CTCK quản lý,28.12,860.265.136.442,1.516.539.183.337,,2812.0,860265136442.0,1516539183337.0
031.1,031.1,031.1,Phải trả Nhà đầu tư trong nước về tiền gửi giao dịch chứng khoán theo phương thức CTCK quản lý,,852.972.718.349,1.510.479.485.804,,,852972718349.0,1510479485804.0
031.2,031.2,031.2,Phải trả Nhà đầu tư nước ngoài về tiền gửi giao dịch chứng khoán theo phương thức CTCK quản lý,,7.292.418.093,6.059.697.533,,,7292418093.0,6059697533.0
032,032,032,Phải trả Tổ chức phát hành chứng khoán,28.13,523.418.364,2.111.904.984,,2813.0,523418364.0,2111904984.0
035,035,035,"Phải trả cổ tức, gốc và lãi trái phiếu",28.14,8.697.114.283,105.760.003,,2814.0,8697114283.0,105760003.0
